latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.2882,114.3022,312.5,2.1,1.4,2013-11-20,0531,Aqua,MODIS,49,6.2,295.5,16.5,D,0
4.3421,114.3064,312,2.1,1.4,2013-11-20,0531,Aqua,MODIS,42,6.2,294.8,15,D,0
4.3456,114.3182,315.3,1.6,1.2,2013-11-27,0237,Terra,MODIS,39,6.2,296.4,13.4,D,0
4.2897,114.3045,311,1.6,1.3,2013-11-27,0537,Aqua,MODIS,43,6.2,291.3,11.1,D,0
4.4288,114.292,310.6,1.7,1.3,2013-12-07,0314,Terra,MODIS,44,6.2,293.2,10.2,D,0
4.402,114.3062,311.9,1,1,2013-12-11,0250,Terra,MODIS,22,6.2,292.8,6,D,0
4.3461,114.3101,312.8,1.1,1,2013-12-11,0549,Aqua,MODIS,48,6.2,296.5,7.4,D,0
4.6117,114.3469,313.1,1.5,1.2,2013-12-29,0237,Terra,MODIS,61,6.2,292.6,10.6,D,0
4.8796,114.8433,329.6,1,1,2014-02-04,0555,Aqua,MODIS,82,6.2,301.1,20.9,D,0
4.2889,114.2955,315.2,1.2,1.1,2014-03-06,0607,Aqua,MODIS,0,6.2,291.3,11.2,D,0
4.0927,114.573,314.5,1,1,2014-03-08,0555,Aqua,MODIS,63,6.2,295.7,6.6,D,0
5.0356,115.0559,337.2,1.1,1.1,2014-03-15,0601,Aqua,MODIS,0,6.2,299.9,32.2,D,0
4.5862,114.3419,311.7,1.1,1,2014-03-31,0302,Terra,MODIS,7,6.2,292.9,5.9,D,0
4.4696,114.2641,321.4,1.1,1,2014-03-31,0602,Aqua,MODIS,0,6.2,298.5,10.9,D,0
4.3476,114.305,304.4,1,1,2014-04-09,0555,Aqua,MODIS,33,6.2,275.4,5.2,D,0
4.3463,114.3155,315.5,1.7,1.3,2014-04-14,0314,Terra,MODIS,63,6.2,295.5,18.4,D,0
4.312,114.3104,311.3,1.7,1.3,2014-04-14,0314,Terra,MODIS,47,6.2,293,12.1,D,0
4.2921,114.3079,314.7,2.2,1.4,2014-04-21,0320,Terra,MODIS,55,6.2,297.4,23.2,D,0
4.3439,114.3078,320.9,2.1,1.4,2014-04-21,0620,Aqua,MODIS,53,6.2,300.2,30.1,D,0
4.5766,114.2978,300.6,1,1,2014-04-27,1802,Aqua,MODIS,31,6.2,278.8,4,N,0
4.5779,114.2888,302.3,1,1,2014-04-27,1802,Aqua,MODIS,48,6.2,279,4.8,N,0
4.5731,114.2884,309.9,1.1,1,2014-04-29,1455,Terra,MODIS,79,6.2,285.4,11.1,N,0
4.5676,114.2781,302.5,1.1,1,2014-05-01,1443,Terra,MODIS,49,6.2,288.9,3.7,N,0
4.569,114.2878,306.1,1.1,1,2014-05-01,1443,Terra,MODIS,67,6.2,288.9,6.2,N,0
4.5671,114.4058,302.4,1.1,1,2014-05-01,1443,Terra,MODIS,49,6.2,287.2,4.2,N,0
4.5653,114.4126,327.3,1.1,1,2014-05-02,0601,Aqua,MODIS,80,6.2,297.1,20.8,D,0
4.5639,114.403,332.3,1.1,1,2014-05-02,0601,Aqua,MODIS,84,6.2,299,28,D,0
4.5557,114.4011,342,1.1,1,2014-05-02,0601,Aqua,MODIS,91,6.2,297.4,44.1,D,0
4.5579,114.157,319.9,1.1,1,2014-05-04,0250,Terra,MODIS,0,6.2,304.4,9.7,D,0
4.2886,114.3008,316.2,1,1,2014-05-04,0250,Terra,MODIS,23,6.2,299.8,7.3,D,0
4.5629,114.4082,321.7,1.1,1,2014-05-04,0549,Aqua,MODIS,74,6.2,300.9,14.1,D,0
4.9373,114.8997,326.1,1,1,2014-05-04,0549,Aqua,MODIS,65,6.2,301.6,14.6,D,0
4.5615,114.3988,316.1,1.1,1,2014-05-04,0549,Aqua,MODIS,66,6.2,298.5,8.4,D,0
4.6374,114.4207,320.7,1.1,1,2014-05-04,0549,Aqua,MODIS,45,6.2,303,10.5,D,0
4.5588,114.4072,310.7,3.8,1.8,2014-05-05,0632,Aqua,MODIS,42,6.2,294.2,31.4,D,0
4.563,114.3978,314.6,1.6,1.3,2014-05-06,0537,Aqua,MODIS,67,6.2,287.7,19.5,D,0
4.5651,114.412,309.9,1.6,1.2,2014-05-06,0537,Aqua,MODIS,55,6.2,285.5,11.6,D,0
4.5604,114.4119,314.3,2.1,1.4,2014-05-07,0620,Aqua,MODIS,66,6.2,296.1,17.7,D,0
4.5098,114.2302,316.4,1.2,1.1,2014-05-13,0244,Terra,MODIS,54,6.2,295.4,12.4,D,0
4.4026,114.2966,315.6,1.7,1.3,2014-05-16,0315,Terra,MODIS,34,6.2,296.1,17,D,0
4.2863,114.3036,314.3,1.7,1.3,2014-05-16,0315,Terra,MODIS,34,6.2,295.5,14.7,D,0
4.5988,114.3697,316.3,1.7,1.3,2014-05-16,0315,Terra,MODIS,57,6.2,291.4,19.5,D,0
4.6347,114.4186,314.2,1,1,2014-05-27,0555,Aqua,MODIS,47,6.2,293.3,6.6,D,0
4.4039,114.2958,312,1.7,1.3,2014-06-07,0537,Aqua,MODIS,33,6.2,291.4,11.9,D,0
4.3493,114.3094,308.7,1.7,1.3,2014-06-07,0537,Aqua,MODIS,26,6.2,287.7,8.3,D,0
4.3452,114.3099,310.8,1,1,2014-06-12,0555,Aqua,MODIS,18,6.2,284.9,5.8,D,0
4.3433,114.3101,303.7,1.1,1,2014-06-21,0549,Aqua,MODIS,25,6.2,271.2,4.1,D,0
4.8529,114.7193,319.8,1.5,1.2,2014-06-23,0537,Aqua,MODIS,72,6.2,294.8,20,D,0
4.7158,114.603,310.5,1,1,2014-06-28,0256,Terra,MODIS,46,6.2,295.3,5.1,D,0
4.3468,114.3194,315.2,1.2,1.1,2014-07-16,0244,Terra,MODIS,44,6.2,298,8.8,D,0
4.2927,114.3088,315.1,1.1,1,2014-07-21,0302,Terra,MODIS,44,6.2,298.7,9,D,0
4.29,114.2959,314.1,1.7,1.3,2014-07-25,0536,Aqua,MODIS,0,6.2,297.4,14,D,0
4.2646,114.6677,313.9,2.2,1.4,2014-07-26,0619,Aqua,MODIS,68,6.2,292.3,23.8,D,0
4.2672,114.6871,313.6,2.2,1.4,2014-07-26,0619,Aqua,MODIS,67,6.2,292.2,23,D,0
4.3451,114.3238,315.8,1,1,2014-07-30,0256,Terra,MODIS,39,6.2,300.3,7,D,0
4.2876,114.3016,315.8,1.1,1,2014-08-06,0302,Terra,MODIS,61,6.2,298,10.5,D,0
4.3117,114.3115,314.7,1.1,1,2014-08-06,0302,Terra,MODIS,29,6.2,295.8,8.1,D,0
4.3439,114.3252,317.7,1,1,2014-08-08,0250,Terra,MODIS,51,6.2,298.3,11,D,0
4.348,114.304,309.6,1.7,1.3,2014-08-10,0536,Aqua,MODIS,0,6.2,286,12.4,D,0
4.6683,114.4727,312.3,1.7,1.3,2014-08-20,0314,Terra,MODIS,27,6.2,291,12.8,D,0
4.4065,114.3064,311.1,1.7,1.3,2014-08-20,0314,Terra,MODIS,67,6.2,294.6,13.8,D,0
4.3095,114.6514,314.8,1.1,1,2014-08-24,0549,Aqua,MODIS,67,6.2,298,7.4,D,0
4.3454,114.3153,315.2,2,1.4,2014-09-04,0232,Terra,MODIS,47,6.2,295,19.8,D,0
4.5659,114.1492,316.2,1.3,1.1,2014-09-18,0244,Terra,MODIS,35,6.2,297.2,9,D,0
4.3459,114.3209,309.2,2,1.4,2014-09-20,0232,Terra,MODIS,53,6.2,283.6,15.3,D,0
4.7093,115.0746,312.9,1.2,1.1,2014-09-23,0302,Terra,MODIS,66,6.2,298.7,7.1,D,0
4.6696,114.4628,311.7,1,1,2014-10-02,0256,Terra,MODIS,31,6.2,280.1,8,D,0
4.3468,114.3202,313.6,1.2,1.1,2014-10-04,0244,Terra,MODIS,26,6.2,290.4,9.9,D,0
4.3498,114.3127,314,2.3,1.5,2014-10-14,0321,Terra,MODIS,62,6.2,294.7,23.6,D,0
4.5829,114.2287,306.2,2.9,1.6,2014-10-21,0327,Terra,MODIS,26,6.2,284.7,24.6,D,0
4.3469,114.3208,317.5,1.3,1.1,2014-11-01,0308,Terra,MODIS,40,6.2,297.8,13.1,D,0
4.3486,114.3091,318.8,1.3,1.1,2014-11-01,0308,Terra,MODIS,25,6.2,298.6,13.8,D,0
4.3476,114.3185,309.9,1.7,1.3,2014-11-08,0314,Terra,MODIS,32,6.2,290.9,12,D,0
4.0972,114.5317,307.9,2.1,1.4,2014-12-09,0530,Aqua,MODIS,66,6.2,289.6,19.6,D,0
4.3488,114.3132,311.6,1.7,1.3,2014-12-10,0314,Terra,MODIS,35,6.2,294.3,12.4,D,0
4.284,114.2967,315.2,1.1,1,2014-12-14,0549,Aqua,MODIS,34,6.2,297.6,8.6,D,0
4.1137,114.5129,312.1,3.8,1.8,2014-12-27,0518,Aqua,MODIS,70,6.2,288.2,46.1,D,0
4.1129,114.5197,313.7,1.1,1,2015-01-29,0601,Aqua,MODIS,27,6.2,297.6,7.9,D,0
4.666,114.4698,316.1,1.1,1,2015-02-14,0302,Terra,MODIS,55,6.2,297.7,11.2,D,0
4.6674,114.4599,323,1.1,1,2015-02-14,0302,Terra,MODIS,0,6.2,297.2,18.6,D,0
4.6687,114.4648,320.1,1.5,1.2,2015-02-18,0238,Terra,MODIS,58,6.2,296.9,21,D,0
4.6619,114.4621,321.3,1.6,1.2,2015-02-18,0537,Aqua,MODIS,67,6.2,299.8,24.5,D,0
4.6686,114.4597,314.9,1.3,1.1,2015-02-18,1502,Terra,MODIS,90,6.2,295.2,16.8,N,0
4.6689,114.4611,309.3,1,1,2015-02-18,1756,Aqua,MODIS,77,6.2,294,8.7,N,0
4.2833,114.3089,311.7,1.3,1.1,2015-02-25,0543,Aqua,MODIS,40,6.2,293.7,10.2,D,0
4.6656,114.4664,315.4,1.7,1.3,2015-02-28,0314,Terra,MODIS,46,6.2,298.3,15.2,D,0
4.6642,114.4621,318.1,1.1,1,2015-03-02,0601,Aqua,MODIS,66,6.2,296.2,8.9,D,0
4.3483,114.7969,316,1,1,2015-03-04,0250,Terra,MODIS,71,6.2,293.6,9,D,0
4.4748,114.2632,314.8,1.7,1.3,2015-03-06,0537,Aqua,MODIS,34,6.2,296.5,16.1,D,0
4.4048,114.3018,309.7,2.2,1.4,2015-03-15,0531,Aqua,MODIS,0,6.2,292.1,14.8,D,0
4.3423,114.3167,311.1,2.2,1.4,2015-03-15,0531,Aqua,MODIS,46,6.2,294.6,18,D,0
4.2877,114.305,310.7,2.2,1.4,2015-03-15,0531,Aqua,MODIS,45,6.2,293.3,18.8,D,0
4.5992,114.3311,310.9,3.8,1.8,2015-03-17,0519,Aqua,MODIS,55,6.2,293.1,39.4,D,0
4.3529,114.7941,303.3,1.5,1.2,2015-03-19,1431,Terra,MODIS,33,6.2,290.6,9.7,N,0
4.3544,114.7881,300.7,1.5,1.2,2015-03-19,1431,Terra,MODIS,18,6.2,290.4,7.3,N,0
4.5594,114.1597,313.2,1.6,1.2,2015-03-22,0238,Terra,MODIS,0,6.2,289.4,12.5,D,0
4.575,114.2794,318.7,1.7,1.3,2015-03-22,0537,Aqua,MODIS,60,6.2,290.1,22.4,D,0
4.5727,114.2644,316.1,1.7,1.3,2015-03-22,0537,Aqua,MODIS,32,6.2,289.5,17.1,D,0
4.5809,114.2788,306.4,1.2,1.1,2015-03-22,1502,Terra,MODIS,63,6.2,288.2,10.1,N,0
4.5758,114.2838,306.1,1.1,1,2015-03-22,1756,Aqua,MODIS,65,6.2,287.1,6.9,N,0
4.6689,114.4661,307,1,1,2015-03-22,1756,Aqua,MODIS,70,6.2,290.1,7.4,N,0
4.5733,114.2855,312.7,2.2,1.4,2015-03-23,0320,Terra,MODIS,36,6.2,292.7,21.1,D,0
4.5771,114.2837,306.6,1.6,1.2,2015-03-24,1744,Aqua,MODIS,68,6.2,292.6,11.8,N,0
4.5741,114.2795,331.8,1.2,1.1,2015-03-25,0608,Aqua,MODIS,0,6.2,301.9,28.7,D,0
4.5768,114.2836,333,1.2,1.1,2015-03-25,0608,Aqua,MODIS,76,6.2,300.9,29.8,D,0
