6.6,2313
4.9,3836
5.8,2990
5.2,3566
5.3,3366
0.5,4377
2.2,6770
3.2,5574
1.4,7491
2.6,6265
3.7,5071
4.2,4641
5.1,3620
8.5,1090
6.9,2140
7.4,1782
8.4,1231
7.1,2012
1.7,7216
3.3,5581
5.9,2845
6.4,2386
4.5,4176
5.0,3776
6.2,2653
5.5,3310
8.0,1383
7.6,1578
4.3,4475
1.1,7133
3.5,5366
2.5,6425
4.8,3943
4.7,4069
6.8,2201
6.0,2786
6.5,2471
0.7,5472
3.4,5469
9.0,865
9.4,790
4.6,4147
4.0,4713
2.8,5995
10.0,502
6.1,2637
3.8,5005
1.6,7421
1.8,7278
2.4,6620
3.0,5958
2.1,6858
2.0,6939
4.1,4645
1.0,6909
2.3,6825
3.6,5290
5.6,3079
0.8,6107
8.2,1218
1.3,7379
1.5,7385
0.4,3736
2.9,6092
6.7,2276
7.0,2063
8.8,961
7.2,1871
7.3,1824
10.3,416
9.2,791
10.7,285
10.2,472
11.4,159
12.3,100
10.4,429
9.8,599
8.7,1064
10.5,366
10.8,297
5.4,3353
9.6,657
8.6,1052
4.4,4251
7.8,1487
7.7,1550
8.1,1330
9.3,739
8.9,904
7.5,1677
6.3,2604
5.7,3084
8.3,1198
0.9,6696
9.7,651
11.0,266
11.5,149
11.1,236
7.9,1459
1.9,7055
1.2,7199
2.7,6116
3.9,4979
10.1,530
0.6,5131
9.5,705
0.2,1875
3.1,5861
0.3,2808
0.1,916
9.1,837
11.2,223
10.9,245
11.3,221
12.0,130
14.2,15
12.1,99
12.4,74
14.4,22
14.0,19
11.7,152
12.8,56
13.5,35
9.9,544
11.9,113
11.6,153
16.2,5
14.8,9
13.1,42
14.9,11
10.6,347
13.7,23
14.6,10
12.5,64
14.3,12
12.6,69
13.3,41
12.7,60
14.7,14
11.8,115
15.0,6
13.6,25
15.9,5
12.2,109
18.0,2
15.4,12
13.4,31
15.2,13
15.5,7
14.5,25
13.2,42
13.8,25
17.5,1
15.6,10
19.3,1
16.0,4
13.0,38
16.8,2
17.6,3
16.3,5
18.1,2
12.9,42
17.1,1
18.8,1
18.6,1
0.0,97
15.7,7
15.1,7
13.9,15
16.9,2
17.4,4
16.1,3
17.3,3
17.2,3
17.0,2
14.1,18
16.5,5
15.8,4
15.3,10
16.4,2
16.7,1
17.8,1
16.6,2
19.4,2
19.6,1
20.5,1
