latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-11.806,142.06,350.8,1.2,1.1,2019-08-03,00:40,T,83,6.0NRT,292.4,75.2,D
-6.01,145.831,317.2,1,1,2019-08-03,00:40,T,59,6.0NRT,289.7,9.1,D
-6.012,145.84,316,1,1,2019-08-03,00:40,T,56,6.0NRT,290.5,8.1,D
-8.327,140.209,313.7,1.8,1.3,2019-08-03,00:40,T,56,6.0NRT,290.5,17.2,D
-11.821,142.157,310.5,1.2,1.1,2019-08-03,00:40,T,57,6.0NRT,293.1,5.8,D
-5.909,146.894,314.9,1,1,2019-08-03,00:40,T,31,6.0NRT,293.6,6.9,D
24.144,121.648,311.1,1.9,1.4,2019-08-03,02:10,T,0,6.0NRT,292.1,13.3,D
2.773,125.413,317.2,1.2,1.1,2019-08-03,02:15,T,67,6.0NRT,274.5,19.3,D
2.775,125.403,338.6,1.2,1.1,2019-08-03,02:15,T,89,6.0NRT,278.6,51.5,D
-2.141,115.578,315.4,2.2,1.5,2019-08-03,02:20,T,37,6.0NRT,299.2,22,D
-2.188,113.829,313.1,3.1,1.7,2019-08-03,02:20,T,45,6.0NRT,294.2,28.8,D
-2.261,114.011,312.3,3,1.6,2019-08-03,02:20,T,54,6.0NRT,294.8,23.9,D
-2.305,113.998,318.2,3,1.6,2019-08-03,02:20,T,73,6.0NRT,294.9,47.8,D
-2.318,114.077,316.3,2.9,1.6,2019-08-03,02:20,T,39,6.0NRT,296.5,34.6,D
-3.877,122.245,315,1,1,2019-08-03,02:20,T,70,6.0NRT,294,9.2,D
-3.902,122.416,320.7,1,1,2019-08-03,02:20,T,77,6.0NRT,300.8,13.8,D
-3.903,122.425,318.4,1,1,2019-08-03,02:20,T,75,6.0NRT,298.5,11.3,D
-4.577,121.811,312.9,1,1,2019-08-03,02:20,T,50,6.0NRT,296.5,5.3,D
-4.578,121.82,324.5,1,1,2019-08-03,02:20,T,80,6.0NRT,300.3,16.1,D
