latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
1.45,125.2,316.1,1,1,2019-08-05,02:05,T,0,6.0NRT,300.2,8.2,D
1.518,124.857,318.6,1,1,2019-08-05,02:05,T,30,6.0NRT,302.2,7,D
1.713,127.595,310.2,1.1,1,2019-08-05,02:05,T,32,6.0NRT,296.7,4.7,D
2.782,125.405,320.4,1,1,2019-08-05,02:05,T,68,6.0NRT,298.6,14.1,D
-4.45,122.308,316.8,1.2,1.1,2019-08-05,02:05,T,70,6.0NRT,298,9.8,D
-3.905,122.425,317.9,1.2,1.1,2019-08-05,02:05,T,68,6.0NRT,299.5,11.7,D
-3.903,122.415,318,1.2,1.1,2019-08-05,02:05,T,63,6.0NRT,299.8,11.8,D
-2.583,121.378,319.6,1.4,1.2,2019-08-05,02:05,T,52,6.0NRT,288.7,17.2,D
-1.598,128.145,320.3,1.2,1.1,2019-08-05,02:05,T,55,6.0NRT,294.3,18.7,D
1.174,124.567,320.1,1,1,2019-08-05,02:05,T,61,6.0NRT,300.3,9.9,D
-11.348,130.939,325.9,2.8,1.6,2019-08-05,02:10,T,70,6.0NRT,292.7,76.5,D
-11.566,132.66,313.3,3.8,1.8,2019-08-05,02:10,T,43,6.0NRT,289.7,35.9,D
-11.356,130.918,326.6,2.8,1.6,2019-08-05,02:10,T,80,6.0NRT,292.8,80.9,D
-11.345,130.945,319.1,2.8,1.6,2019-08-05,02:10,T,52,6.0NRT,292.1,47.3,D
-11.342,130.919,350.1,2.8,1.6,2019-08-05,02:10,T,90,6.0NRT,292.6,249.1,D
-8.398,118.659,320.5,1.7,1.3,2019-08-05,02:10,T,55,6.0NRT,303.1,20.1,D
-9.198,125.085,317.2,1.1,1,2019-08-05,02:10,T,67,6.0NRT,297.4,12,D
-8.57,120.999,321.7,1.2,1.1,2019-08-05,02:10,T,58,6.0NRT,307.2,12.6,D
-8.197,119.064,312.7,1.6,1.3,2019-08-05,02:10,T,23,6.0NRT,297.3,13.7,D
-8.366,123.99,325.5,1,1,2019-08-05,02:10,T,72,6.0NRT,300,16.5,D
-11.416,130.778,315,2.7,1.6,2019-08-05,02:10,T,61,6.0NRT,288.7,29.4,D
-11.359,130.912,313.6,2.8,1.6,2019-08-05,02:10,T,28,6.0NRT,292.3,27.4,D
-11.345,130.913,346.7,2.8,1.6,2019-08-05,02:10,T,94,6.0NRT,292.7,216.4,D
-10.154,120.264,317.9,1.3,1.1,2019-08-05,02:10,T,30,6.0NRT,296.6,15.1,D
-10.071,120.19,314.8,1.3,1.1,2019-08-05,02:10,T,55,6.0NRT,296.5,12,D
-9.55,149.216,316.1,1.8,1.3,2019-08-05,03:20,A,65,6.0NRT,283,26.4,D
-9.552,149.2,314.1,1.8,1.3,2019-08-05,03:20,A,57,6.0NRT,282.3,22.4,D
-9.634,149.705,312.8,1.7,1.3,2019-08-05,03:20,A,36,6.0NRT,284.9,14.7,D
25.787,107.526,312.6,1,1,2019-08-05,03:35,T,58,6.0NRT,295.6,5.5,D
28.863,115.601,315.7,2.5,1.5,2019-08-05,03:35,T,57,6.0NRT,294.1,30.3,D
29.232,111.982,317.2,1.4,1.2,2019-08-05,03:35,T,61,6.0NRT,299.3,11.8,D
29.672,109.279,313,1.1,1,2019-08-05,03:35,T,67,6.0NRT,295.9,7.3,D
28.466,115.411,316.1,2.5,1.5,2019-08-05,03:35,T,53,6.0NRT,294.9,25.7,D
28.189,116.584,314.6,3.1,1.7,2019-08-05,03:35,T,29,6.0NRT,293.6,27.5,D
29.529,108.778,316.7,1,1,2019-08-05,03:35,T,49,6.0NRT,298.1,8.4,D
28.318,112.831,316.4,1.7,1.3,2019-08-05,03:35,T,29,6.0NRT,295.9,13.7,D
28.215,113.319,322.9,1.8,1.3,2019-08-05,03:35,T,65,6.0NRT,299.6,25.9,D
28.306,112.585,318.7,1.6,1.3,2019-08-05,03:35,T,34,6.0NRT,298.4,16,D
28.276,112.681,318.3,1.7,1.3,2019-08-05,03:35,T,18,6.0NRT,298.8,15,D
28.08,113.048,322,1.8,1.3,2019-08-05,03:35,T,67,6.0NRT,297.6,19.1,D
28.565,108.497,314.3,1,1,2019-08-05,03:35,T,25,6.0NRT,295.1,6.2,D
27.774,112.007,320.5,1.5,1.2,2019-08-05,03:35,T,50,6.0NRT,299.4,17.9,D
27.998,108.401,317.5,1,1,2019-08-05,03:35,T,32,6.0NRT,297.4,7.4,D
