latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-9.574,147.4,318.9,1,1,2019-09-13,00:35,T,62,6.0NRT,299,8.2,D
-9.991,149.762,319.7,1.3,1.1,2019-09-13,00:35,T,78,6.0NRT,294.5,19,D
-9.669,147.426,323.9,1,1,2019-09-13,00:35,T,58,6.0NRT,299.5,11.5,D
-10.856,142.381,318.7,1.5,1.2,2019-09-13,00:35,T,61,6.0NRT,296.7,18.2,D
-10.858,142.394,319.2,1.5,1.2,2019-09-13,00:35,T,71,6.0NRT,296.6,19.1,D
-11.004,142.602,319,1.4,1.2,2019-09-13,00:35,T,37,6.0NRT,294.3,16.8,D
-6.022,145.267,311.6,1.1,1.1,2019-09-13,00:35,T,56,6.0NRT,297.3,6.5,D
-3.606,144.591,313.7,1.3,1.1,2019-09-13,00:35,T,59,6.0NRT,299.6,13.5,D
-4.013,143.496,317.1,1.6,1.2,2019-09-13,00:35,T,67,6.0NRT,298.7,15.2,D
-4.192,143.994,318.7,1.4,1.2,2019-09-13,00:35,T,69,6.0NRT,301.1,15.2,D
-5.293,147.601,321.2,1,1,2019-09-13,00:35,T,31,6.0NRT,307,11.9,D
-5.878,146.824,318.8,1,1,2019-09-13,00:35,T,73,6.0NRT,300.2,9.7,D
-5.997,147.377,333.4,1,1,2019-09-13,00:35,T,87,6.0NRT,298.3,26.7,D
-5.998,147.385,327.5,1,1,2019-09-13,00:35,T,83,6.0NRT,298.3,18.3,D
-6.164,146.701,314.9,1,1,2019-09-13,00:35,T,70,6.0NRT,297.8,8.8,D
-11.143,142.449,327.8,1.4,1.2,2019-09-13,00:35,T,73,6.0NRT,300.8,33.5,D
-11.145,142.462,318.6,1.4,1.2,2019-09-13,00:35,T,34,6.0NRT,298.9,17.5,D
-11.771,142.678,340.8,1.3,1.1,2019-09-13,00:35,T,90,6.0NRT,298.4,58.8,D
-11.773,142.69,322.2,1.3,1.1,2019-09-13,00:35,T,54,6.0NRT,296.1,20.4,D
-11.781,142.676,324,1.3,1.1,2019-09-13,00:35,T,52,6.0NRT,300.2,23.4,D
-11.783,142.688,343.8,1.3,1.1,2019-09-13,00:35,T,92,6.0NRT,300.6,67.4,D
-11.826,142.694,324.7,1.3,1.1,2019-09-13,00:35,T,71,6.0NRT,298.6,25.1,D
-11.843,142.666,330.1,1.3,1.1,2019-09-13,00:35,T,40,6.0NRT,295.9,29.2,D
-11.845,142.678,331.8,1.3,1.1,2019-09-13,00:35,T,34,6.0NRT,296.8,32.7,D
-11.841,142.672,338.5,1.3,1.1,2019-09-13,00:35,T,89,6.0NRT,296.7,51.2,D
-9.989,149.751,315.1,1.3,1.1,2019-09-13,00:35,T,73,6.0NRT,294.6,13.2,D
-6.249,145.487,317.8,1.1,1,2019-09-13,00:35,T,69,6.0NRT,301.8,7.9,D
-6.522,146.566,320.7,1,1,2019-09-13,00:35,T,48,6.0NRT,300.1,8.8,D
-6.508,146.41,334,1,1,2019-09-13,00:35,T,86,6.0NRT,303.1,21.3,D
-6.509,146.419,329.8,1,1,2019-09-13,00:35,T,82,6.0NRT,304,14.8,D
-8.644,148.167,310.6,1,1,2019-09-13,00:35,T,61,6.0NRT,294.4,4.8,D
-8.864,148.287,311.1,1.1,1,2019-09-13,00:35,T,62,6.0NRT,296.4,5.8,D
-9.074,149.044,324.5,1.1,1.1,2019-09-13,00:35,T,80,6.0NRT,301.5,17.1,D
-9.075,149.054,318.3,1.1,1.1,2019-09-13,00:35,T,44,6.0NRT,301.3,9.6,D
-9.251,149.207,318.6,1.2,1.1,2019-09-13,00:35,T,58,6.0NRT,302.4,12.9,D
-9.255,149.164,315.9,1.2,1.1,2019-09-13,00:35,T,43,6.0NRT,301.2,10.2,D
-9.159,147.206,322.4,1,1,2019-09-13,00:35,T,78,6.0NRT,296.4,13.9,D
-9.16,147.215,316.7,1,1,2019-09-13,00:35,T,72,6.0NRT,294.4,8.7,D
-9.375,148.71,312.7,1.1,1,2019-09-13,00:35,T,54,6.0NRT,299.1,7.1,D
-8.07,139.794,311.1,2.5,1.5,2019-09-13,00:35,T,59,6.0NRT,293.4,20,D
-9.446,148.362,314.8,1.1,1,2019-09-13,00:35,T,68,6.0NRT,301.6,8.8,D
-9.485,148.566,341.6,1.1,1,2019-09-13,00:35,T,91,6.0NRT,299.5,43.9,D
-9.469,148.389,321.6,1.1,1,2019-09-13,00:35,T,77,6.0NRT,296.8,15.7,D
-9.494,148.565,335.1,1.1,1,2019-09-13,00:35,T,88,6.0NRT,299.4,30.2,D
