latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-11.061,142.509,323.5,1.8,1.3,2019-09-07,01:10,T,73,6.0NRT,302.7,29.1,D
-9.264,142.695,312.8,1.8,1.3,2019-09-07,01:10,T,58,6.0NRT,292.2,17.4,D
-11.05,142.612,320.8,1.8,1.3,2019-09-07,01:10,T,73,6.0NRT,297.4,30.6,D
-11.052,142.628,318.3,1.9,1.3,2019-09-07,01:10,T,65,6.0NRT,297.9,26.1,D
-11.069,142.519,327.7,1.8,1.3,2019-09-07,01:10,T,81,6.0NRT,301.8,38.3,D
-5.144,142.306,308.6,1.4,1.2,2019-09-07,01:10,T,63,6.0NRT,294.1,8.7,D
-5.664,143.147,313.7,1.7,1.3,2019-09-07,01:10,T,74,6.0NRT,289.5,24.4,D
-6.184,145.057,307.2,2.4,1.5,2019-09-07,01:10,T,56,6.0NRT,290,20,D
-6.885,139.077,320.1,1,1,2019-09-07,01:10,T,61,6.0NRT,297.3,12.8,D
-6.887,139.086,327.8,1,1,2019-09-07,01:10,T,82,6.0NRT,294.2,21.6,D
-7.337,140.431,319.6,1.2,1.1,2019-09-07,01:10,T,57,6.0NRT,294.1,12.6,D
-7.615,141.243,309.6,1.3,1.1,2019-09-07,01:10,T,45,6.0NRT,295,7.8,D
-7.631,140.847,325.4,1.2,1.1,2019-09-07,01:10,T,70,6.0NRT,297.7,25.9,D
-7.633,140.858,316.9,1.2,1.1,2019-09-07,01:10,T,63,6.0NRT,296.4,14.2,D
-8.428,140.346,323,1.2,1.1,2019-09-07,01:10,T,79,6.0NRT,301.8,18,D
-8.587,141.332,308.1,1.4,1.2,2019-09-07,01:10,T,52,6.0NRT,291.6,7.4,D
-8.173,138.059,317.1,1,1,2019-09-07,01:10,T,70,6.0NRT,291.2,9.4,D
-8.364,137.918,319.3,1,1,2019-09-07,01:10,T,33,6.0NRT,301.9,7.2,D
-8.909,140.794,320.2,1.3,1.1,2019-09-07,01:10,T,71,6.0NRT,294.9,19.8,D
-8.91,140.805,313.2,1.3,1.1,2019-09-07,01:10,T,45,6.0NRT,293.3,11.1,D
-11.814,142.672,310.1,1.9,1.4,2019-09-07,01:15,T,17,6.0NRT,297.6,10.5,D
-11.289,132.234,320,1.6,1.3,2019-09-07,01:15,T,45,6.0NRT,303.5,17.1,D
-11.291,132.249,325.6,1.6,1.3,2019-09-07,01:15,T,79,6.0NRT,303.1,29.5,D
-11.289,132.243,328.3,1.6,1.3,2019-09-07,01:15,T,81,6.0NRT,303.8,35.9,D
25.065,121.629,318.6,1,1,2019-09-07,02:40,T,55,6.0NRT,292,8.8,D
30.656,122.028,311.7,1,1,2019-09-07,02:40,T,50,6.0NRT,299.4,6.8,D
30.622,122.068,314,1,1,2019-09-07,02:40,T,32,6.0NRT,301.1,7.8,D
30.317,119.787,315.7,1.1,1,2019-09-07,02:40,T,54,6.0NRT,297.9,9.2,D
29.521,120.83,317.9,1,1,2019-09-07,02:40,T,38,6.0NRT,300.6,8.1,D
28.581,121.522,322.4,1,1,2019-09-07,02:40,T,0,6.0NRT,304.6,8.2,D
28.894,118.87,321.2,1.1,1.1,2019-09-07,02:40,T,60,6.0NRT,302.7,9.8,D
28.883,118.468,317.5,1.2,1.1,2019-09-07,02:40,T,62,6.0NRT,301.5,9.7,D
28.779,116.056,312.4,1.6,1.2,2019-09-07,02:40,T,0,6.0NRT,298.3,8.9,D
27.173,120.367,319.1,1,1,2019-09-07,02:40,T,72,6.0NRT,301.2,9.3,D
26.457,112.078,315.3,2.8,1.6,2019-09-07,02:40,T,55,6.0NRT,296.2,26.1,D
25.132,121.735,316.3,1,1,2019-09-07,02:40,T,36,6.0NRT,289,8.5,D
22.868,112.951,315.4,2.2,1.4,2019-09-07,02:40,T,44,6.0NRT,294.7,17.3,D
4.281,118.012,319.4,1.2,1.1,2019-09-07,02:45,T,61,6.0NRT,298.8,10.6,D
14.36,120.885,312.2,1.2,1.1,2019-09-07,02:45,T,30,6.0NRT,283.4,7.5,D
14.138,121.119,315.2,1.3,1.1,2019-09-07,02:45,T,61,6.0NRT,290.6,10.2,D
14.136,121.131,315.1,1.3,1.1,2019-09-07,02:45,T,64,6.0NRT,291.6,10.1,D
15.211,108.808,325.7,3.6,1.8,2019-09-07,02:45,T,79,6.0NRT,290.4,103.8,D
14.424,108.81,327.7,3.5,1.8,2019-09-07,02:45,T,76,6.0NRT,283.7,137.1,D
14.43,108.805,323.3,3.5,1.8,2019-09-07,02:45,T,66,6.0NRT,281.8,110.3,D
14.426,108.836,312.3,3.4,1.7,2019-09-07,02:45,T,29,6.0NRT,285,47.4,D
12.276,108.893,319.1,3.2,1.7,2019-09-07,02:45,T,71,6.0NRT,286.1,46.8,D
6.597,116.94,316.4,1,1,2019-09-07,02:45,T,62,6.0NRT,299.4,6.8,D
6.596,116.949,318.3,1,1,2019-09-07,02:45,T,67,6.0NRT,299.2,8.8,D
6.486,116.571,314.8,1,1,2019-09-07,02:45,T,58,6.0NRT,299.1,6.8,D
6.345,115.655,312.7,1,1,2019-09-07,02:45,T,55,6.0NRT,296.1,5.9,D
-2.093,110.338,327.5,1.5,1.2,2019-09-07,02:50,T,80,6.0NRT,303.7,29.3,D
-2.192,110.602,319.7,1.4,1.2,2019-09-07,02:50,T,70,6.0NRT,301.5,14.2,D
-3.897,122.418,312.6,3.2,1.7,2019-09-07,02:50,T,58,6.0NRT,293.8,35.3,D
-2.746,114.193,325.1,1,1,2019-09-07,02:50,T,36,6.0NRT,287.8,12.7,D
-2.755,114.192,339.7,1,1,2019-09-07,02:50,T,89,6.0NRT,294,31.7,D
-2.173,110.185,352.1,1.5,1.2,2019-09-07,02:50,T,96,6.0NRT,299.7,101.8,D
-2.184,110.184,338.3,1.5,1.2,2019-09-07,02:50,T,88,6.0NRT,298.1,53.3,D
-2.174,110.165,324.2,1.5,1.2,2019-09-07,02:50,T,28,6.0NRT,297.5,18.1,D
-2.176,110.179,345.1,1.5,1.2,2019-09-07,02:50,T,92,6.0NRT,299.4,74.7,D
-2.178,110.192,344.3,1.5,1.2,2019-09-07,02:50,T,90,6.0NRT,298.4,71.7,D
-2.187,110.177,325.1,1.5,1.2,2019-09-07,02:50,T,39,6.0NRT,297.1,21.4,D
-2.854,114.117,318,1,1,2019-09-07,02:50,T,67,6.0NRT,287.3,8.1,D
-2.297,110.154,342,1.5,1.2,2019-09-07,02:50,T,69,6.0NRT,305.4,65.8,D
-1.359,103.802,322.8,4.8,2,2019-09-07,02:50,T,71,6.0NRT,292.6,148.1,D
-2.573,111.653,315.9,1.2,1.1,2019-09-07,02:50,T,62,6.0NRT,296.9,9.8,D
-1.358,103.797,318.1,4.8,2,2019-09-07,02:50,T,40,6.0NRT,292.5,97.4,D
-2.457,110.455,317,1.4,1.2,2019-09-07,02:50,T,64,6.0NRT,300.1,13.6,D
-2.459,110.468,316.7,1.4,1.2,2019-09-07,02:50,T,63,6.0NRT,300.1,13,D
-3.07,113.895,342.1,1,1,2019-09-07,02:50,T,83,6.0NRT,298.2,35.7,D
-2.73,111.12,337.4,1.3,1.1,2019-09-07,02:50,T,87,6.0NRT,298.5,44.1,D
-2.9,111.025,323.7,1.3,1.1,2019-09-07,02:50,T,39,6.0NRT,300.5,16.5,D
-2.958,110.94,324.6,1.3,1.1,2019-09-07,02:50,T,58,6.0NRT,300.7,20.1,D
-2.968,110.938,319.9,1.3,1.1,2019-09-07,02:50,T,26,6.0NRT,298.3,12.6,D
-2.851,107.852,317.8,2.2,1.4,2019-09-07,02:50,T,51,6.0NRT,297.3,26.1,D
-2.85,107.846,314.8,2.2,1.4,2019-09-07,02:50,T,35,6.0NRT,296.9,20,D
