latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
27.247,140.88,320.6,1,1,2019-08-27,01:20,T,73,6.0NRT,302.9,12.7,D
-8.351,137.984,316.1,1.7,1.3,2019-08-27,01:30,T,38,6.0NRT,302.1,18.1,D
-7.846,129.612,318.3,1.4,1.2,2019-08-27,01:30,T,60,6.0NRT,303.3,12.4,D
-7.88,129.63,317.7,1.4,1.2,2019-08-27,01:30,T,33,6.0NRT,304.2,10.7,D
-7.891,129.629,321.9,1.4,1.2,2019-08-27,01:30,T,68,6.0NRT,303.6,17.7,D
-7.918,129.619,313.6,1.4,1.2,2019-08-27,01:30,T,34,6.0NRT,301.9,9.7,D
-11.942,135.765,318.7,1.3,1.1,2019-08-27,01:30,T,47,6.0NRT,300,13,D
-11.459,132.136,328,1,1,2019-08-27,01:30,T,73,6.0NRT,304.7,16,D
-11.457,132.127,342.6,1,1,2019-08-27,01:30,T,90,6.0NRT,307.8,37.7,D
-11.448,132.129,340.5,1,1,2019-08-27,01:30,T,88,6.0NRT,305.5,33.9,D
-11.468,132.135,319.5,1,1,2019-08-27,01:30,T,41,6.0NRT,303.7,7.7,D
-4.099,138.947,311.8,1.7,1.3,2019-08-27,01:30,T,42,6.0NRT,297.5,13.1,D
-2.835,129.65,317.1,1.6,1.2,2019-08-27,01:30,T,44,6.0NRT,299.3,15.7,D
-6.87,139.118,311.8,2,1.4,2019-08-27,01:30,T,51,6.0NRT,292.7,18.1,D
-8.286,137.923,312.4,1.7,1.3,2019-08-27,01:30,T,21,6.0NRT,297.6,11.1,D
-6.815,134.315,316.1,1,1,2019-08-27,01:30,T,62,6.0NRT,299.4,8.2,D
30.472,120.676,318.6,1.3,1.1,2019-08-27,03:00,T,48,6.0NRT,298.2,9.3,D
23.626,116.777,317.3,1,1,2019-08-27,03:00,T,64,6.0NRT,299,8.5,D
23.259,113.488,315.8,1.1,1,2019-08-27,03:00,T,61,6.0NRT,297.2,7.3,D
22.207,113.579,311.9,1.1,1,2019-08-27,03:00,T,21,6.0NRT,296.4,5.6,D
20.745,109.761,316.8,1.6,1.3,2019-08-27,03:00,T,0,6.0NRT,296.2,12.1,D
20.356,110.586,312.9,1.4,1.2,2019-08-27,03:00,T,53,6.0NRT,296.3,11.9,D
20.348,110.571,313.5,1.4,1.2,2019-08-27,03:00,T,58,6.0NRT,296.4,13.2,D
27.809,118.477,316.7,1.1,1,2019-08-27,03:00,T,62,6.0NRT,297.9,8.4,D
27.511,119.691,311.6,1.3,1.1,2019-08-27,03:00,T,40,6.0NRT,294.9,6.8,D
27.471,119.384,309.4,1.2,1.1,2019-08-27,03:00,T,38,6.0NRT,293.7,4.6,D
27.176,120.373,315,1.4,1.2,2019-08-27,03:00,T,49,6.0NRT,299.8,10.2,D
27.416,118.344,318.9,1.1,1,2019-08-27,03:00,T,45,6.0NRT,299.7,9.6,D
27.063,120.243,317.3,1.4,1.2,2019-08-27,03:00,T,57,6.0NRT,301.2,11.3,D
27.049,119.68,317.6,1.3,1.1,2019-08-27,03:00,T,51,6.0NRT,300.9,10.9,D
27.782,114.91,323.6,1,1,2019-08-27,03:00,T,67,6.0NRT,300.6,11.6,D
27.048,119.686,317.7,1.3,1.1,2019-08-27,03:00,T,59,6.0NRT,301.2,11.4,D
26.509,119.523,316.9,1.3,1.1,2019-08-27,03:00,T,45,6.0NRT,300.6,9.4,D
26.751,117.472,318,1,1,2019-08-27,03:00,T,47,6.0NRT,299.8,9.3,D
26.531,118.274,316.9,1.1,1.1,2019-08-27,03:00,T,59,6.0NRT,297.1,9.1,D
26.529,118.285,317.4,1.1,1.1,2019-08-27,03:00,T,52,6.0NRT,297.5,9.2,D
26.284,117.563,317.7,1.1,1,2019-08-27,03:00,T,31,6.0NRT,300.5,8.4,D
26.194,118.126,321.8,1.1,1,2019-08-27,03:00,T,45,6.0NRT,300.8,13.8,D
26.273,117.572,316.9,1.1,1,2019-08-27,03:00,T,26,6.0NRT,300.3,7.7,D
26.185,118.124,318.5,1.1,1,2019-08-27,03:00,T,31,6.0NRT,299.9,10.2,D
25.714,119.476,320.6,1.3,1.1,2019-08-27,03:00,T,67,6.0NRT,302.8,12.6,D
25.499,119.413,320.2,1.3,1.1,2019-08-27,03:00,T,22,6.0NRT,304.4,13.3,D
25.692,117.841,318.9,1.1,1,2019-08-27,03:00,T,67,6.0NRT,300,11,D
25.338,118.72,320.6,1.2,1.1,2019-08-27,03:00,T,26,6.0NRT,301.1,9.3,D
25.215,118.605,315.5,1.2,1.1,2019-08-27,03:00,T,53,6.0NRT,300.1,8.5,D
25.236,118.034,321,1.1,1.1,2019-08-27,03:00,T,43,6.0NRT,300.8,11.1,D
25.284,117.158,316.7,1,1,2019-08-27,03:00,T,51,6.0NRT,301,7.6,D
25.051,118.477,318.4,1.2,1.1,2019-08-27,03:00,T,32,6.0NRT,300.8,9.1,D
25.085,118.158,320.7,1.1,1.1,2019-08-27,03:00,T,57,6.0NRT,300.3,12,D
24.933,118.312,319.6,1.2,1.1,2019-08-27,03:00,T,72,6.0NRT,299.5,12.7,D
24.889,118.397,314.7,1.2,1.1,2019-08-27,03:00,T,42,6.0NRT,298,7.2,D
25.058,116.411,320.5,1,1,2019-08-27,03:00,T,0,6.0NRT,301.7,8.1,D
24.706,118.209,326.2,1.2,1.1,2019-08-27,03:00,T,79,6.0NRT,301.8,16.3,D
24.761,117.782,319.9,1.1,1,2019-08-27,03:00,T,29,6.0NRT,300.5,10.7,D
24.645,118.018,320.9,1.1,1.1,2019-08-27,03:00,T,48,6.0NRT,302.4,10.6,D
24.648,117.788,319.3,1.1,1.1,2019-08-27,03:00,T,39,6.0NRT,299.8,8.7,D
24.62,117.783,324.1,1.1,1.1,2019-08-27,03:00,T,49,6.0NRT,301.8,12.2,D
24.618,117.794,323.8,1.1,1.1,2019-08-27,03:00,T,50,6.0NRT,301.6,13.4,D
24.502,117.485,315.1,1.1,1,2019-08-27,03:00,T,31,6.0NRT,299.1,6.6,D
24.476,117.469,316.3,1.1,1,2019-08-27,03:00,T,46,6.0NRT,299.9,8.1,D
24.365,117.306,324.7,1.1,1,2019-08-27,03:00,T,47,6.0NRT,301.3,13.4,D
24.36,116.691,319,1,1,2019-08-27,03:00,T,29,6.0NRT,301,8.9,D
23.948,117.606,316.8,1.1,1.1,2019-08-27,03:00,T,68,6.0NRT,300,6.7,D
30.999,119.135,319.5,1.1,1,2019-08-27,03:00,T,66,6.0NRT,296.9,9.1,D
