latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
27.243,140.872,313.8,1.2,1.1,2019-08-29,01:10,T,53,6.0NRT,299,10.3,D
27.242,140.884,319.3,1.2,1.1,2019-08-29,01:10,T,71,6.0NRT,300.2,17,D
-2.57,140.526,315.1,1.3,1.1,2019-08-29,01:15,T,46,6.0NRT,296.4,11.1,D
-4.068,143.5,314.9,2.2,1.4,2019-08-29,01:15,T,72,6.0NRT,291.1,25.3,D
-3.721,138.126,307.9,1,1,2019-08-29,01:15,T,63,6.0NRT,283.3,6.5,D
-9.251,142.743,312.5,2.3,1.5,2019-08-29,01:20,T,45,6.0NRT,292.4,23,D
-9.249,142.758,312.3,2.3,1.5,2019-08-29,01:20,T,38,6.0NRT,293.1,23.4,D
-11.09,132.521,318.4,1.3,1.1,2019-08-29,01:20,T,47,6.0NRT,305.1,10,D
-11.183,132.203,326.6,1.3,1.1,2019-08-29,01:20,T,42,6.0NRT,304.2,19.6,D
-11.193,132.201,320.7,1.3,1.1,2019-08-29,01:20,T,43,6.0NRT,306.8,12.5,D
-11.939,135.774,344.2,1,1,2019-08-29,01:20,T,92,6.0NRT,305.7,42.4,D
-11.948,135.773,317.7,1,1,2019-08-29,01:20,T,55,6.0NRT,305.3,7,D
-11.423,132.109,336.1,1.3,1.1,2019-08-29,01:20,T,81,6.0NRT,306.1,38.6,D
-11.442,132.093,326.5,1.3,1.1,2019-08-29,01:20,T,44,6.0NRT,306.8,20.7,D
-11.449,132.141,323.2,1.3,1.1,2019-08-29,01:20,T,48,6.0NRT,304.4,16.3,D
-11.994,134.283,318.7,1,1,2019-08-29,01:20,T,0,6.0NRT,306,6.4,D
-11.755,130.263,312.7,1.7,1.3,2019-08-29,01:20,T,55,6.0NRT,302.1,11.7,D
-7.801,137.953,321,1.1,1,2019-08-29,01:20,T,47,6.0NRT,302.2,13.6,D
-8.324,138.607,321.1,1.2,1.1,2019-08-29,01:20,T,76,6.0NRT,297.3,17.2,D
-8.297,137.767,319.6,1.1,1,2019-08-29,01:20,T,36,6.0NRT,302.3,10.4,D
-8.345,138.039,318.9,1.1,1,2019-08-29,01:20,T,43,6.0NRT,300,11.8,D
28.344,119.777,321,1,1,2019-08-29,02:45,T,50,6.0NRT,301.4,7.8,D
27.063,120.253,319.2,1,1,2019-08-29,02:45,T,55,6.0NRT,299.6,9.2,D
27.175,120.364,318.4,1,1,2019-08-29,02:45,T,72,6.0NRT,297.3,11.2,D
23.713,121.475,320.4,1.2,1.1,2019-08-29,02:50,T,67,6.0NRT,299.6,12.5,D
23.809,121.513,318.1,1.2,1.1,2019-08-29,02:50,T,23,6.0NRT,299.2,10,D
24.672,121.77,323.7,1.2,1.1,2019-08-29,02:50,T,65,6.0NRT,301.1,10.3,D
24.897,121.205,322.5,1.1,1.1,2019-08-29,02:50,T,43,6.0NRT,300.7,11.5,D
25.502,119.412,321.9,1,1,2019-08-29,02:50,T,49,6.0NRT,303.9,11.2,D
26.186,118.132,318.8,1,1,2019-08-29,02:50,T,15,6.0NRT,299.8,8,D
23.307,120.288,317.6,1.1,1,2019-08-29,02:50,T,55,6.0NRT,298.5,9.4,D
23.208,120.328,321.5,1.1,1,2019-08-29,02:50,T,76,6.0NRT,299.1,12.2,D
24.383,109.383,314.2,3.2,1.7,2019-08-29,02:50,T,46,6.0NRT,290.6,30.9,D
18.197,120.595,317.6,1.3,1.1,2019-08-29,02:50,T,72,6.0NRT,296.8,11.4,D
23.722,117.518,310.5,1,1,2019-08-29,02:50,T,38,6.0NRT,296.9,6.1,D
16.682,121.549,315.9,1.6,1.2,2019-08-29,02:50,T,54,6.0NRT,294.2,14.1,D
23.387,120.363,316.4,1.1,1,2019-08-29,02:50,T,46,6.0NRT,296.8,6.4,D
23.329,121.316,318.7,1.2,1.1,2019-08-29,02:50,T,23,6.0NRT,299.1,10.7,D
-2.998,110.941,333.2,1.1,1,2019-08-29,02:55,T,85,6.0NRT,296.9,29.8,D
-7.574,111.48,317.6,1,1,2019-08-29,02:55,T,59,6.0NRT,304.1,6.4,D
-7.651,111.445,326.6,1,1,2019-08-29,02:55,T,72,6.0NRT,305.9,10.9,D
-8.117,112.925,312.3,1.1,1,2019-08-29,02:55,T,25,6.0NRT,296.5,7.1,D
-7.996,110.726,320.3,1,1,2019-08-29,02:55,T,60,6.0NRT,302,7.9,D
-8.31,112.741,314.1,1,1,2019-08-29,02:55,T,36,6.0NRT,299.8,6.6,D
-8.311,112.75,318.1,1,1,2019-08-29,02:55,T,65,6.0NRT,298.9,10.7,D
-9.493,119.83,322.3,3.3,1.7,2019-08-29,02:55,T,75,6.0NRT,304.1,53.2,D
-9.497,119.86,321.8,3.3,1.7,2019-08-29,02:55,T,74,6.0NRT,303.9,52.6,D
-9.489,119.825,319.2,3.3,1.7,2019-08-29,02:55,T,71,6.0NRT,304,37.9,D
-9.493,119.855,326.5,3.3,1.7,2019-08-29,02:55,T,80,6.0NRT,304.1,83.2,D
-9.793,120.182,317.6,3.5,1.8,2019-08-29,02:55,T,68,6.0NRT,302.5,51.6,D
-9.881,120.164,322.5,3.5,1.8,2019-08-29,02:55,T,75,6.0NRT,303.5,70.2,D
-9.891,120.159,323.8,3.5,1.8,2019-08-29,02:55,T,77,6.0NRT,302.9,73.4,D
-9.981,120.243,313.7,3.6,1.8,2019-08-29,02:55,T,54,6.0NRT,302.1,35.3,D
-9.99,120.234,313.5,3.6,1.8,2019-08-29,02:55,T,46,6.0NRT,301.3,35.6,D
-2.193,110.617,319.5,1.1,1.1,2019-08-29,02:55,T,71,6.0NRT,300.7,11.9,D
-2.79,114.157,324.1,1.1,1,2019-08-29,02:55,T,40,6.0NRT,304.7,14.1,D
-2.295,110.554,342.7,1.1,1.1,2019-08-29,02:55,T,91,6.0NRT,302.3,47.9,D
-2.756,112.853,317.8,1,1,2019-08-29,02:55,T,38,6.0NRT,296.3,8,D
-2.487,110.606,322.1,1.1,1.1,2019-08-29,02:55,T,64,6.0NRT,301.5,11.6,D
-3.061,114.052,326.1,1.1,1,2019-08-29,02:55,T,65,6.0NRT,299.1,16.6,D
-3.07,114.051,323.6,1.1,1,2019-08-29,02:55,T,72,6.0NRT,297.5,14.9,D
-3.229,115.018,320.5,1.2,1.1,2019-08-29,02:55,T,72,6.0NRT,300.5,11.1,D
-3.231,115.028,321.7,1.2,1.1,2019-08-29,02:55,T,74,6.0NRT,299.5,13.1,D
-3.1,114.066,314.9,1.1,1,2019-08-29,02:55,T,21,6.0NRT,296.6,5.8,D
-3.108,114.055,321.3,1.1,1,2019-08-29,02:55,T,71,6.0NRT,296.9,13.4,D
-3.286,115.203,317,1.2,1.1,2019-08-29,02:55,T,54,6.0NRT,300.3,8.1,D
-3.288,115.214,316.9,1.2,1.1,2019-08-29,02:55,T,58,6.0NRT,299.4,7.9,D
-3.138,114.083,313.8,1.1,1,2019-08-29,02:55,T,46,6.0NRT,295.8,6.7,D
-3.17,113.915,386.2,1.1,1,2019-08-29,02:55,T,94,6.0NRT,296.5,186.4,D
-3.172,113.925,324.8,1.1,1,2019-08-29,02:55,T,77,6.0NRT,293.9,16.3,D
-3.181,113.923,326.9,1.1,1,2019-08-29,02:55,T,78,6.0NRT,293.7,17.9,D
-3.192,113.998,318.3,1.1,1,2019-08-29,02:55,T,46,6.0NRT,293.3,9.2,D
-3.193,114.008,320.1,1.1,1,2019-08-29,02:55,T,34,6.0NRT,295.8,10.3,D
-3.209,113.933,316.9,1.1,1,2019-08-29,02:55,T,65,6.0NRT,297.6,9,D
-3.152,112.911,320.6,1,1,2019-08-29,02:55,T,37,6.0NRT,299.2,9.2,D
-3.223,112.901,323.1,1,1,2019-08-29,02:55,T,65,6.0NRT,304.7,7.9,D
-3.767,116.271,313.9,1.4,1.2,2019-08-29,02:55,T,36,6.0NRT,297.9,9.3,D
-7.895,113.937,325.4,1.2,1.1,2019-08-29,02:55,T,71,6.0NRT,308.9,12.3,D
-2.999,110.951,315.6,1.1,1,2019-08-29,02:55,T,60,6.0NRT,298.2,7.9,D
-3.001,110.96,326.9,1.1,1,2019-08-29,02:55,T,79,6.0NRT,299.9,20.3,D
-3.222,112.449,317.7,1,1,2019-08-29,02:55,T,23,6.0NRT,298.7,7.7,D
-3.259,112.58,319.6,1,1,2019-08-29,02:55,T,67,6.0NRT,297.5,9.7,D
-3.318,112.729,327.3,1,1,2019-08-29,02:55,T,52,6.0NRT,304.7,16.1,D
-3.303,112.504,319.3,1,1,2019-08-29,02:55,T,69,6.0NRT,299.5,11.2,D
-3.306,111.84,335.9,1,1,2019-08-29,02:55,T,82,6.0NRT,301.1,27.2,D
-3.314,111.829,403.9,1,1,2019-08-29,02:55,T,65,6.0NRT,307.4,271.2,D
-3.315,111.838,438.3,1,1,2019-08-29,02:55,T,94,6.0NRT,313.3,571,D
-3.317,111.847,395.9,1,1,2019-08-29,02:55,T,100,6.0NRT,307.8,220.6,D
-3.318,111.856,382.7,1,1,2019-08-29,02:55,T,100,6.0NRT,306,155.9,D
-3.324,111.837,374.2,1,1,2019-08-29,02:55,T,100,6.0NRT,299.4,120.5,D
-3.326,111.846,392.9,1,1,2019-08-29,02:55,T,100,6.0NRT,307.2,205.2,D
-3.327,111.855,398.6,1,1,2019-08-29,02:55,T,100,6.0NRT,309.1,236,D
-3.328,111.864,370,1,1,2019-08-29,02:55,T,100,6.0NRT,302.9,106.3,D
-3.736,114.637,329.8,1.1,1.1,2019-08-29,02:55,T,53,6.0NRT,302.5,18.9,D
-3.333,111.836,362.6,1,1,2019-08-29,02:55,T,94,6.0NRT,297.6,82.6,D
-3.335,111.845,407.4,1,1,2019-08-29,02:55,T,100,6.0NRT,308.2,293.9,D
-3.336,111.854,350.3,1,1,2019-08-29,02:55,T,95,6.0NRT,305.6,51.2,D
-3.344,111.843,335.8,1,1,2019-08-29,02:55,T,82,6.0NRT,301,25.5,D
-3.388,111.831,335.5,1,1,2019-08-29,02:55,T,66,6.0NRT,295.4,29.2,D
-3.389,111.84,326.3,1,1,2019-08-29,02:55,T,79,6.0NRT,294.7,17.9,D
-4.081,114.678,319.6,1.2,1.1,2019-08-29,02:55,T,69,6.0NRT,299.9,10.5,D
-5.377,119.549,329.5,2.7,1.6,2019-08-29,02:55,T,78,6.0NRT,309.5,68.7,D
-5.381,119.542,330.8,2.7,1.6,2019-08-29,02:55,T,83,6.0NRT,309.5,75.6,D
-7.533,117.304,310.4,1.9,1.4,2019-08-29,02:55,T,37,6.0NRT,299.5,17.7,D
-6.667,110.714,330,1,1,2019-08-29,02:55,T,78,6.0NRT,303.4,20,D
-6.558,108.158,333.2,1.4,1.2,2019-08-29,02:55,T,84,6.0NRT,299.2,30,D
-7.009,110.355,320.3,1.1,1,2019-08-29,02:55,T,31,6.0NRT,302.4,5.1,D
2.216,117.544,314.3,1.4,1.2,2019-08-29,02:55,T,69,6.0NRT,292.6,11.5,D
2.002,117.267,324.7,1.4,1.2,2019-08-29,02:55,T,81,6.0NRT,298,21.7,D
1.992,117.265,320.2,1.4,1.2,2019-08-29,02:55,T,44,6.0NRT,297.5,13.5,D
0.993,122.187,305.5,3.4,1.7,2019-08-29,02:55,T,38,6.0NRT,285,17.5,D
0.691,116.728,311,1.3,1.1,2019-08-29,02:55,T,62,6.0NRT,293.3,8.1,D
0.465,116.115,312.9,1.2,1.1,2019-08-29,02:55,T,38,6.0NRT,292.5,8.8,D
0.086,117.346,314.6,1.5,1.2,2019-08-29,02:55,T,36,6.0NRT,297.4,13,D
0.053,116.765,313.1,1.4,1.2,2019-08-29,02:55,T,64,6.0NRT,293.8,7.6,D
-0.973,121.709,321.4,3.4,1.7,2019-08-29,02:55,T,65,6.0NRT,293.9,84.9,D
-0.999,121.889,310.4,3.5,1.8,2019-08-29,02:55,T,29,6.0NRT,295,32.6,D
-0.272,116.393,316.9,1.3,1.1,2019-08-29,02:55,T,0,6.0NRT,294.8,8.7,D
-0.321,116.517,314.7,1.3,1.1,2019-08-29,02:55,T,63,6.0NRT,294.5,10.5,D
-0.323,116.529,317.1,1.3,1.1,2019-08-29,02:55,T,71,6.0NRT,293.9,13.7,D
-0.411,116.367,318.9,1.3,1.1,2019-08-29,02:55,T,73,6.0NRT,293.5,13.9,D
-0.42,116.284,316.2,1.3,1.1,2019-08-29,02:55,T,25,6.0NRT,290.9,9.3,D
-1.474,114.408,312.5,1.1,1,2019-08-29,02:55,T,62,6.0NRT,293.4,5.1,D
-2.58,121.37,324.2,3.4,1.7,2019-08-29,02:55,T,81,6.0NRT,293.3,111.1,D
-2.584,121.403,311.9,3.4,1.7,2019-08-29,02:55,T,68,6.0NRT,292.4,43.9,D
-2.017,116.028,322.6,1.3,1.1,2019-08-29,02:55,T,77,6.0NRT,295.1,19.1,D
-2.019,116.04,320.4,1.3,1.1,2019-08-29,02:55,T,74,6.0NRT,294.1,15.9,D
-1.834,114.546,314.7,1.1,1,2019-08-29,02:55,T,51,6.0NRT,298.4,8.2,D
-2.013,114.381,313.2,1.1,1,2019-08-29,02:55,T,58,6.0NRT,297.9,7.2,D
-2.285,116.188,315,1.3,1.1,2019-08-29,02:55,T,47,6.0NRT,294.7,10.5,D
-2.296,116.186,315.2,1.3,1.1,2019-08-29,02:55,T,52,6.0NRT,295.6,10.5,D
-2.266,114.984,318.1,1.1,1.1,2019-08-29,02:55,T,25,6.0NRT,300.6,9.8,D
-2.234,114.129,320.7,1.1,1,2019-08-29,02:55,T,61,6.0NRT,304.8,11.8,D
-2.243,114.128,321.2,1.1,1,2019-08-29,02:55,T,72,6.0NRT,304.8,11.5,D
-2.355,114.57,316.9,1.1,1,2019-08-29,02:55,T,35,6.0NRT,300.1,8.5,D
-2.346,114.384,324.8,1.1,1,2019-08-29,02:55,T,52,6.0NRT,300.4,15.3,D
-1.771,110.052,340.7,1.2,1.1,2019-08-29,02:55,T,90,6.0NRT,300.4,49.2,D
-1.772,110.063,353.8,1.2,1.1,2019-08-29,02:55,T,97,6.0NRT,300.4,85,D
