latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-11.114,142.502,344,1.1,1.1,2019-09-04,00:40,T,92,6.0NRT,294.5,51,D
-9.785,149.481,313.8,1.5,1.2,2019-09-04,00:40,T,66,6.0NRT,299.5,11.8,D
-9.787,149.474,314.9,1.5,1.2,2019-09-04,00:40,T,62,6.0NRT,298.8,13.8,D
-10.019,149.765,309.7,1.6,1.3,2019-09-04,00:40,T,69,6.0NRT,297,13.7,D
-10.669,142.221,316.6,1.2,1.1,2019-09-04,00:40,T,59,6.0NRT,300.7,9.6,D
-11.098,142.462,328.8,1.2,1.1,2019-09-04,00:40,T,60,6.0NRT,294.7,24.1,D
-11.1,142.472,329.5,1.2,1.1,2019-09-04,00:40,T,58,6.0NRT,293.1,23,D
-11.113,142.491,322.9,1.1,1.1,2019-09-04,00:40,T,23,6.0NRT,291.2,14.2,D
-11.124,142.5,325.4,1.1,1.1,2019-09-04,00:40,T,36,6.0NRT,290.9,18,D
-3.61,144.585,310.2,1.1,1,2019-09-04,00:40,T,32,6.0NRT,294.7,7,D
-3.611,144.594,313.4,1.1,1,2019-09-04,00:40,T,58,6.0NRT,295,9.8,D
-4.168,144.496,318.9,1.1,1,2019-09-04,00:40,T,42,6.0NRT,297.8,9.4,D
-6.26,146.056,340.9,1,1,2019-09-04,00:40,T,86,6.0NRT,289.7,41.8,D
-6.262,146.065,329.7,1,1,2019-09-04,00:40,T,85,6.0NRT,290.7,25.5,D
-6.432,146.66,314.8,1,1,2019-09-04,00:40,T,70,6.0NRT,293.7,8.5,D
-6.457,146.263,316.2,1,1,2019-09-04,00:40,T,50,6.0NRT,296,7.1,D
-6.458,146.272,319.8,1,1,2019-09-04,00:40,T,71,6.0NRT,296.4,10.6,D
-6.644,146.537,311.5,1,1,2019-09-04,00:40,T,15,6.0NRT,291.4,5.3,D
-6.647,145.677,323.4,1,1,2019-09-04,00:40,T,81,6.0NRT,287.2,16.3,D
-6.648,145.686,328.2,1,1,2019-09-04,00:40,T,84,6.0NRT,287.1,21.7,D
-8.515,146.36,312.6,1,1,2019-09-04,00:40,T,71,6.0NRT,287.4,5.7,D
-8.956,146.927,322,1.1,1,2019-09-04,00:40,T,80,6.0NRT,293.1,16.6,D
-9.357,149.118,316.2,1.4,1.2,2019-09-04,00:40,T,60,6.0NRT,301.6,12.5,D
-9.491,148.469,313.3,1.3,1.1,2019-09-04,00:40,T,68,6.0NRT,297.2,8.4,D
-9.379,147.377,310.1,1.1,1.1,2019-09-04,00:40,T,64,6.0NRT,282.3,9.2,D
-9.354,147.135,317.3,1.1,1,2019-09-04,00:40,T,68,6.0NRT,292.7,10.8,D
-9.355,147.145,316.5,1.1,1,2019-09-04,00:40,T,73,6.0NRT,292.9,9.5,D
-9.72,149.756,330,1.6,1.2,2019-09-04,00:40,T,85,6.0NRT,299.9,44.7,D
-9.722,149.77,316.4,1.6,1.2,2019-09-04,00:40,T,72,6.0NRT,299.2,16.5,D
2.269,118.008,321.8,1.7,1.3,2019-09-04,02:15,T,46,6.0NRT,296.8,23.2,D
2.266,118.024,322.9,1.7,1.3,2019-09-04,02:15,T,62,6.0NRT,298.2,26,D
2.27,118.017,323.6,1.7,1.3,2019-09-04,02:15,T,79,6.0NRT,297.5,28.9,D
2.258,118.016,319.7,1.7,1.3,2019-09-04,02:15,T,59,6.0NRT,298.1,19,D
1.862,117.251,318.3,1.9,1.4,2019-09-04,02:15,T,54,6.0NRT,298.7,22.7,D
2.461,117.882,320.8,1.8,1.3,2019-09-04,02:15,T,68,6.0NRT,298,22.8,D
2.313,118.03,315.1,1.7,1.3,2019-09-04,02:15,T,68,6.0NRT,298,12.4,D
-2.396,113.353,308.8,3.3,1.7,2019-09-04,02:20,T,0,6.0NRT,296.1,25.9,D
-2.429,112.867,316.4,3.6,1.8,2019-09-04,02:20,T,68,6.0NRT,298.7,53.7,D
-2.45,112.896,325.5,3.6,1.8,2019-09-04,02:20,T,80,6.0NRT,299.9,105.7,D
-2.466,112.894,334.2,3.6,1.8,2019-09-04,02:20,T,87,6.0NRT,300.4,174.5,D
-3.9,122.425,313.7,1,1,2019-09-04,02:20,T,42,6.0NRT,294.7,5.6,D
-2.458,112.888,340.5,3.6,1.8,2019-09-04,02:20,T,90,6.0NRT,301.6,239,D
-2.776,114.355,317.9,2.7,1.6,2019-09-04,02:20,T,67,6.0NRT,297.8,43.5,D
-2.764,114.179,317.7,2.8,1.6,2019-09-04,02:20,T,38,6.0NRT,299,41,D
-2.78,114.349,322.2,2.7,1.6,2019-09-04,02:20,T,72,6.0NRT,297.8,63.5,D
-3.149,115.281,321.4,2.3,1.5,2019-09-04,02:20,T,75,6.0NRT,299.1,39.5,D
-2.82,113.04,320.9,3.5,1.8,2019-09-04,02:20,T,41,6.0NRT,298.9,70,D
-2.844,112.876,323.3,3.6,1.8,2019-09-04,02:20,T,43,6.0NRT,298.5,84,D
-3.096,114.052,315.4,2.9,1.6,2019-09-04,02:20,T,46,6.0NRT,297.4,33.6,D
-3.1,114.077,321.5,2.8,1.6,2019-09-04,02:20,T,75,6.0NRT,299.2,58.9,D
-3.102,114.071,322.9,2.8,1.6,2019-09-04,02:20,T,72,6.0NRT,298.7,64.1,D
-3.131,114.066,333.7,2.8,1.6,2019-09-04,02:20,T,86,6.0NRT,297.3,122.2,D
-3.117,113.884,344,2.9,1.6,2019-09-04,02:20,T,92,6.0NRT,299.2,212,D
-3.292,114.836,321.5,2.5,1.5,2019-09-04,02:20,T,58,6.0NRT,303.3,33.9,D
-2.939,112.301,311.9,3.9,1.8,2019-09-04,02:20,T,46,6.0NRT,299,40.5,D
-4.202,120.357,325.5,1,1,2019-09-04,02:20,T,0,6.0NRT,304.4,8.5,D
-4.266,120.351,323.6,1,1,2019-09-04,02:20,T,49,6.0NRT,304.2,6.9,D
-3.262,112.574,316.7,3.7,1.8,2019-09-04,02:20,T,64,6.0NRT,298.6,56.7,D
-3.267,112.607,313.9,3.7,1.8,2019-09-04,02:20,T,48,6.0NRT,299.2,37.6,D
-3.285,112.293,311,3.9,1.8,2019-09-04,02:20,T,36,6.0NRT,296.7,34.8,D
-3.291,112.285,312.3,3.9,1.8,2019-09-04,02:20,T,35,6.0NRT,296.4,42.1,D
-3.272,111.844,382.1,4.2,1.9,2019-09-04,02:20,T,71,6.0NRT,300.9,1236.3,D
-3.289,111.841,321.3,4.2,1.9,2019-09-04,02:20,T,0,6.0NRT,298.5,85.3,D
-3.725,114.671,314.4,2.5,1.5,2019-09-04,02:20,T,35,6.0NRT,299.7,20,D
-3.275,111.837,374.9,4.2,1.9,2019-09-04,02:20,T,0,6.0NRT,300.5,1006.5,D
-3.281,111.875,328.9,4.2,1.9,2019-09-04,02:20,T,77,6.0NRT,297.6,151.7,D
-3.406,111.894,323.8,4.2,1.9,2019-09-04,02:20,T,77,6.0NRT,297.8,114.7,D
-3.412,111.931,320.4,4.1,1.9,2019-09-04,02:20,T,73,6.0NRT,297.9,86.5,D
-3.409,111.886,318.9,4.2,1.9,2019-09-04,02:20,T,70,6.0NRT,297.8,78.5,D
-3.415,111.923,326,4.1,1.9,2019-09-04,02:20,T,79,6.0NRT,298.1,135.3,D
-4.099,114.723,317,2.4,1.5,2019-09-04,02:20,T,63,6.0NRT,300.2,23.3,D
-8.18,124.378,310.5,1.4,1.2,2019-09-04,02:20,T,40,6.0NRT,298.3,9.9,D
-9.04,125.811,313.8,1.8,1.3,2019-09-04,02:20,T,60,6.0NRT,297.9,16.3,D
