latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
27.244,140.879,318.4,1,1,2019-09-12,01:20,T,69,6.0NRT,303.2,11.1,D
-11.957,135.706,320.5,1.3,1.1,2019-09-12,01:30,T,48,6.0NRT,295.3,16.7,D
-11.958,135.718,335.9,1.3,1.1,2019-09-12,01:30,T,76,6.0NRT,295.7,45,D
-11.968,135.717,326,1.3,1.1,2019-09-12,01:30,T,77,6.0NRT,299,25.1,D
-11.607,132.804,346.9,1,1,2019-09-12,01:30,T,92,6.0NRT,309.8,42.4,D
-11.618,132.821,325.9,1,1,2019-09-12,01:30,T,52,6.0NRT,308.6,9.6,D
-11.62,132.83,328.2,1,1,2019-09-12,01:30,T,62,6.0NRT,307.8,12.4,D
-11.632,132.85,327.2,1,1,2019-09-12,01:30,T,56,6.0NRT,308.6,11.5,D
-11.784,133.327,354.6,1,1,2019-09-12,01:30,T,97,6.0NRT,307.9,61.7,D
-11.786,133.337,343,1,1,2019-09-12,01:30,T,90,6.0NRT,309.3,36.5,D
-11.813,133.336,335.2,1,1,2019-09-12,01:30,T,83,6.0NRT,307.8,22.1,D
-11.815,133.288,364.6,1,1,2019-09-12,01:30,T,100,6.0NRT,308.9,88,D
-11.816,133.297,350.3,1,1,2019-09-12,01:30,T,94,6.0NRT,309,49.6,D
-11.82,133.325,343,1,1,2019-09-12,01:30,T,90,6.0NRT,308.4,34.8,D
-11.822,133.335,332.2,1,1,2019-09-12,01:30,T,72,6.0NRT,306.8,17.9,D
-11.828,133.315,326.6,1,1,2019-09-12,01:30,T,63,6.0NRT,306.5,10.5,D
-11.566,130.744,350.1,1.1,1,2019-09-12,01:30,T,94,6.0NRT,311.1,55.2,D
-11.576,130.743,344.5,1.1,1,2019-09-12,01:30,T,91,6.0NRT,313.7,39.9,D
-11.577,130.753,365.3,1.1,1,2019-09-12,01:30,T,100,6.0NRT,314.9,96.4,D
-11.579,130.763,329.5,1.1,1,2019-09-12,01:30,T,64,6.0NRT,307.6,16.4,D
-11.606,130.772,349,1.1,1,2019-09-12,01:30,T,93,6.0NRT,312.1,50,D
-11.615,130.77,340.6,1.1,1,2019-09-12,01:30,T,84,6.0NRT,313.6,30.5,D
