latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
30.557,119.961,310.9,3.9,1.8,2019-08-12,02:05,T,25,6.0NRT,292.4,29,D
5.995,125.455,312.9,1,1,2019-08-12,02:10,T,59,6.0NRT,297.4,4.7,D
6.387,125.488,316.4,1,1,2019-08-12,02:10,T,64,6.0NRT,299,6.7,D
6.5,124.846,320.4,1,1,2019-08-12,02:10,T,33,6.0NRT,302.4,7.6,D
8.377,126.235,315.6,1,1,2019-08-12,02:10,T,66,6.0NRT,297.2,6.4,D
8.532,125.183,311.6,1,1,2019-08-12,02:10,T,51,6.0NRT,294.4,6.8,D
8.458,125.751,317.9,1,1,2019-08-12,02:10,T,45,6.0NRT,301,8.4,D
9.973,125.664,313.9,1,1,2019-08-12,02:10,T,49,6.0NRT,291,7.1,D
-1.983,114.465,312.6,3.7,1.8,2019-08-12,02:10,T,63,6.0NRT,293,46.8,D
-1.887,114.106,310.4,3.9,1.8,2019-08-12,02:10,T,37,6.0NRT,294.1,34.9,D
-3.466,126.839,315,1.4,1.2,2019-08-12,02:10,T,70,6.0NRT,290.8,13.5,D
-2.58,121.379,351,1.1,1.1,2019-08-12,02:10,T,96,6.0NRT,291.3,71.4,D
-2.578,121.369,313.3,1.1,1.1,2019-08-12,02:10,T,59,6.0NRT,288.3,8.9,D
-1.954,119.919,310.9,1.4,1.2,2019-08-12,02:10,T,69,6.0NRT,286.6,14.7,D
-2.908,129.303,311.6,2,1.4,2019-08-12,02:10,T,46,6.0NRT,294.5,17.6,D
-2.837,129.645,313.5,2.1,1.4,2019-08-12,02:10,T,44,6.0NRT,294.7,23.7,D
0.704,122.411,324.9,1.1,1,2019-08-12,02:10,T,79,6.0NRT,298.6,15.8,D
0.778,122.338,318.6,1.1,1,2019-08-12,02:10,T,46,6.0NRT,298.8,7.3,D
1.102,124.645,314,1,1,2019-08-12,02:10,T,60,6.0NRT,298.4,6.3,D
1.104,124.636,345,1,1,2019-08-12,02:10,T,93,6.0NRT,300,46.4,D
1.446,125.187,316.9,1,1,2019-08-12,02:10,T,0,6.0NRT,302.3,8.3,D
1.268,128.151,312.8,1.4,1.2,2019-08-12,02:10,T,47,6.0NRT,296.7,10.8,D
2.776,125.413,328.4,1,1,2019-08-12,02:10,T,81,6.0NRT,299.1,21.8,D
2.779,125.395,320.2,1,1,2019-08-12,02:10,T,72,6.0NRT,300.6,13.2,D
2.777,125.404,372.9,1,1,2019-08-12,02:10,T,100,6.0NRT,310.8,124.5,D
-3.96,122.247,307.7,1,1,2019-08-12,02:15,T,48,6.0NRT,281.9,4.7,D
-2.289,114.042,333.8,3.9,1.8,2019-08-12,02:15,T,82,6.0NRT,294.6,183.9,D
-2.238,113.832,330.2,4.1,1.9,2019-08-12,02:15,T,71,6.0NRT,293.7,152.3,D
-2.3,114.048,324.7,3.9,1.8,2019-08-12,02:15,T,79,6.0NRT,294.1,102,D
-2.283,114.05,325,3.9,1.8,2019-08-12,02:15,T,40,6.0NRT,294,100.1,D
-2.251,113.838,324.9,4.1,1.9,2019-08-12,02:15,T,60,6.0NRT,293.9,114.7,D
-2.245,113.802,353.8,4.1,1.9,2019-08-12,02:15,T,97,6.0NRT,294.2,491.9,D
-2.087,113.726,310.2,4.2,1.9,2019-08-12,02:15,T,56,6.0NRT,293,43.2,D
-5.406,119.618,316.5,1.3,1.1,2019-08-12,02:15,T,37,6.0NRT,300.4,9.3,D
-3.903,122.42,324.4,1,1,2019-08-12,02:15,T,77,6.0NRT,290.9,16.8,D
-10.634,121.532,311.7,1,1,2019-08-12,02:15,T,50,6.0NRT,298.5,7.8,D
-9.851,119.896,323.1,1.1,1.1,2019-08-12,02:15,T,68,6.0NRT,299,12,D
-9.85,119.886,338.3,1.1,1.1,2019-08-12,02:15,T,88,6.0NRT,301.6,35.6,D
-9.58,119.676,316.4,1.1,1.1,2019-08-12,02:15,T,63,6.0NRT,296.8,9.3,D
-10.162,124.014,327.6,1.1,1.1,2019-08-12,02:15,T,81,6.0NRT,302,21,D
-10.161,124.004,319.9,1.1,1.1,2019-08-12,02:15,T,72,6.0NRT,301.5,11.1,D
-10.157,124.01,333.6,1.1,1.1,2019-08-12,02:15,T,86,6.0NRT,302.1,29,D
-9.904,123.731,320.9,1.1,1,2019-08-12,02:15,T,64,6.0NRT,301.6,11.7,D
-8.626,125.974,314.1,1.4,1.2,2019-08-12,02:15,T,62,6.0NRT,300,7.8,D
-8.383,124.804,321.3,1.2,1.1,2019-08-12,02:15,T,55,6.0NRT,299.6,16.4,D
-8.238,124.944,313.5,1.2,1.1,2019-08-12,02:15,T,41,6.0NRT,299.3,7,D
-5.507,148.448,314.6,1.4,1.2,2019-08-12,03:30,A,59,6.0NRT,294.3,13.3,D
-5.518,148.45,315.1,1.4,1.2,2019-08-12,03:30,A,59,6.0NRT,293.9,14.7,D
30.517,107.66,315.6,1,1,2019-08-12,03:40,T,56,6.0NRT,301.6,5.9,D
29.438,113.437,313.5,2.2,1.4,2019-08-12,03:40,T,61,6.0NRT,297.2,18.4,D
29.883,110.025,312,1.3,1.1,2019-08-12,03:40,T,52,6.0NRT,298.2,8.7,D
30.283,106.726,318.2,1,1,2019-08-12,03:40,T,53,6.0NRT,303.7,6.5,D
30.008,107.889,323.8,1.1,1,2019-08-12,03:40,T,76,6.0NRT,302.2,14.8,D
29.93,108.035,319.3,1.1,1,2019-08-12,03:40,T,56,6.0NRT,304.9,9.4,D
29.71,109.181,314.7,1.2,1.1,2019-08-12,03:40,T,63,6.0NRT,301.1,8.7,D
30.081,106.594,317.6,1,1,2019-08-12,03:40,T,54,6.0NRT,304.3,7.1,D
30.382,103.904,323.8,1.1,1.1,2019-08-12,03:40,T,46,6.0NRT,305.7,10.2,D
29.53,108.776,318.2,1.2,1.1,2019-08-12,03:40,T,47,6.0NRT,305.1,9.9,D
29.528,108.788,317.2,1.2,1.1,2019-08-12,03:40,T,40,6.0NRT,304.5,8.8,D
29.446,108.727,319.7,1.2,1.1,2019-08-12,03:40,T,63,6.0NRT,306.9,12.2,D
29.437,108.725,319.2,1.2,1.1,2019-08-12,03:40,T,55,6.0NRT,307.4,11.7,D
29.591,107.55,319.1,1,1,2019-08-12,03:40,T,38,6.0NRT,305.3,8.6,D
29.685,106.889,321.3,1,1,2019-08-12,03:40,T,61,6.0NRT,307.6,10.6,D
29.587,107.516,315.5,1,1,2019-08-12,03:40,T,47,6.0NRT,303.1,5,D
29.63,106.65,327.4,1,1,2019-08-12,03:40,T,55,6.0NRT,310.8,11.2,D
29.412,106.62,323.5,1,1,2019-08-12,03:40,T,46,6.0NRT,309.5,9.5,D
28.277,112.662,319.5,2.1,1.4,2019-08-12,03:40,T,54,6.0NRT,302.4,23.1,D
29.322,106.302,322.8,1,1,2019-08-12,03:40,T,48,6.0NRT,307.4,7.3,D
28.853,108.769,314.8,1.2,1.1,2019-08-12,03:40,T,42,6.0NRT,302.7,7.1,D
29.096,106.995,321.1,1,1,2019-08-12,03:40,T,68,6.0NRT,308,9.6,D
28.809,108.778,314.2,1.2,1.1,2019-08-12,03:40,T,52,6.0NRT,302.6,7.4,D
28.879,107.608,319.4,1.1,1,2019-08-12,03:40,T,38,6.0NRT,306,8.7,D
28.977,106.869,322.8,1,1,2019-08-12,03:40,T,69,6.0NRT,308.2,10.9,D
28.953,106.907,323.3,1,1,2019-08-12,03:40,T,44,6.0NRT,309.7,10.1,D
28.984,105.467,318.9,1,1,2019-08-12,03:40,T,63,6.0NRT,304.6,6.5,D
28.612,107.425,320.1,1.1,1,2019-08-12,03:40,T,33,6.0NRT,306.5,8,D
28.527,107.888,318,1.1,1,2019-08-12,03:40,T,45,6.0NRT,304.7,8.5,D
30.486,114.171,320,2.4,1.5,2019-08-12,03:40,T,0,6.0NRT,300.1,28.4,D
30.389,114.189,317.8,2.4,1.5,2019-08-12,03:40,T,0,6.0NRT,298.7,24.4,D
30.973,108.665,318.1,1.1,1,2019-08-12,03:40,T,69,6.0NRT,302.9,8.5,D
30.997,108.304,319.8,1.1,1,2019-08-12,03:40,T,43,6.0NRT,303.2,7.9,D
30.96,108.239,318.2,1.1,1,2019-08-12,03:40,T,49,6.0NRT,302.3,7,D
30.904,108.427,315.5,1.1,1,2019-08-12,03:40,T,42,6.0NRT,301.3,6.1,D
30.819,108.265,315.6,1.1,1,2019-08-12,03:40,T,56,6.0NRT,300.4,6.2,D
30.717,108.088,315.1,1.1,1,2019-08-12,03:40,T,61,6.0NRT,300.4,5.8,D
30.567,108.439,313.5,1.1,1,2019-08-12,03:40,T,60,6.0NRT,300.4,6.8,D
30.737,107.201,321.1,1,1,2019-08-12,03:40,T,23,6.0NRT,303.9,8.4,D
30.871,106.184,321.2,1,1,2019-08-12,03:40,T,43,6.0NRT,306.9,8.2,D
30.842,106.189,321.6,1,1,2019-08-12,03:40,T,36,6.0NRT,306.6,7.7,D
10.488,106.358,314.2,1.6,1.3,2019-08-12,03:45,T,54,6.0NRT,294.5,12.2,D
27.718,109.14,315.6,1.3,1.1,2019-08-12,03:45,T,57,6.0NRT,303,8.5,D
27.648,106.915,325.2,1,1,2019-08-12,03:45,T,37,6.0NRT,308.6,8.7,D
27.604,106.9,322.5,1,1,2019-08-12,03:45,T,27,6.0NRT,308.7,9,D
27.599,106.697,320.2,1,1,2019-08-12,03:45,T,38,6.0NRT,307.4,8.7,D
27.23,108.802,318.4,1.3,1.1,2019-08-12,03:45,T,68,6.0NRT,304.2,10.7,D
27.177,108.816,316.7,1.3,1.1,2019-08-12,03:45,T,61,6.0NRT,304.3,8.3,D
26.912,109.212,320.3,1.3,1.1,2019-08-12,03:45,T,39,6.0NRT,305.1,13.1,D
26.964,108.674,319.5,1.2,1.1,2019-08-12,03:45,T,44,6.0NRT,306.3,11.1,D
27.316,105.464,319.2,1,1,2019-08-12,03:45,T,21,6.0NRT,306.1,8.7,D
27.307,105.457,314.5,1,1,2019-08-12,03:45,T,60,6.0NRT,302.3,7,D
27.741,102.204,321.6,1.3,1.1,2019-08-12,03:45,T,71,6.0NRT,304.6,12.8,D
27.095,106.732,317,1,1,2019-08-12,03:45,T,40,6.0NRT,305.9,7.2,D
26.616,107.241,315.8,1.1,1,2019-08-12,03:45,T,52,6.0NRT,304.7,7.2,D
26.547,106.861,320.8,1.1,1,2019-08-12,03:45,T,29,6.0NRT,305,9.3,D
26.608,106.359,318.9,1,1,2019-08-12,03:45,T,55,6.0NRT,306.7,9.1,D
26.515,106.477,320.4,1,1,2019-08-12,03:45,T,28,6.0NRT,307.1,8.2,D
26.442,106.711,321.7,1,1,2019-08-12,03:45,T,67,6.0NRT,305.1,10,D
26.412,106.78,314.9,1.1,1,2019-08-12,03:45,T,49,6.0NRT,302.9,7,D
26.476,106.317,328.6,1,1,2019-08-12,03:45,T,56,6.0NRT,308.8,16.3,D
13.537,108.967,317,2.3,1.5,2019-08-12,03:45,T,72,6.0NRT,289.8,31.2,D
13.541,108.945,322.6,2.3,1.5,2019-08-12,03:45,T,79,6.0NRT,291.5,50.3,D
13.538,108.952,328.6,2.3,1.5,2019-08-12,03:45,T,82,6.0NRT,291.3,72.9,D
13.752,109.092,319.3,2.3,1.5,2019-08-12,03:45,T,71,6.0NRT,292.8,29.9,D
14.328,108.96,314.2,2.2,1.4,2019-08-12,03:45,T,42,6.0NRT,288.7,20.5,D
18.539,108.695,320.4,1.7,1.3,2019-08-12,03:45,T,0,6.0NRT,295.7,17.7,D
18.551,108.697,321.4,1.7,1.3,2019-08-12,03:45,T,0,6.0NRT,296.1,18.5,D
19.301,105.065,314.7,1.1,1,2019-08-12,03:45,T,66,6.0NRT,290,9.2,D
20.106,110.426,311.7,2.2,1.4,2019-08-12,03:45,T,32,6.0NRT,292.8,18.7,D
20.105,110.432,311.1,2.2,1.4,2019-08-12,03:45,T,46,6.0NRT,292.8,19.1,D
20.815,108.902,313,1.6,1.3,2019-08-12,03:45,T,56,6.0NRT,290.7,13.1,D
21.195,107.327,313.1,1.3,1.1,2019-08-12,03:45,T,30,6.0NRT,291.7,7.3,D
21.197,107.315,318.1,1.3,1.1,2019-08-12,03:45,T,69,6.0NRT,291.7,13.4,D
21.196,107.322,321.7,1.3,1.1,2019-08-12,03:45,T,75,6.0NRT,291.4,18.3,D
21.631,107.12,321.7,1.2,1.1,2019-08-12,03:45,T,77,6.0NRT,293.7,18.4,D
22.542,105.301,313.5,1,1,2019-08-12,03:45,T,60,6.0NRT,296.5,5.6,D
22.919,103.437,317.7,1,1,2019-08-12,03:45,T,69,6.0NRT,298.1,5.8,D
23.069,108.293,319.9,1.4,1.2,2019-08-12,03:45,T,30,6.0NRT,300.3,11.5,D
