latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-8.443,141.034,314.5,1.2,1.1,2019-08-26,00:45,T,67,6.0NRT,295.9,9.9,D
-8.17,140.015,314,1.4,1.2,2019-08-26,00:45,T,43,6.0NRT,297.4,11.1,D
-8.099,139.287,313.1,1.6,1.2,2019-08-26,00:45,T,61,6.0NRT,294.5,10.1,D
-7.81,138.047,310.3,2,1.4,2019-08-26,00:45,T,53,6.0NRT,291.5,15.7,D
-7.813,138.065,311.4,2,1.4,2019-08-26,00:45,T,56,6.0NRT,291.4,18,D
-8.026,139.408,310,1.6,1.2,2019-08-26,00:45,T,55,6.0NRT,293.2,10,D
-10.82,142.413,334.3,1,1,2019-08-26,00:50,T,86,6.0NRT,295,32.2,D
-8.254,137.791,314.2,2.1,1.4,2019-08-26,00:50,T,20,6.0NRT,298.8,17.3,D
-0.616,123.229,334.9,1.2,1.1,2019-08-26,02:25,T,86,6.0NRT,299.9,31.6,D
-1.049,122.056,314.9,1,1,2019-08-26,02:25,T,67,6.0NRT,298.7,7.9,D
-1.348,121.584,325.7,1,1,2019-08-26,02:25,T,81,6.0NRT,299.3,19.5,D
-1.35,121.593,323,1,1,2019-08-26,02:25,T,79,6.0NRT,300.7,16.2,D
-3.106,126.408,313.2,2.1,1.4,2019-08-26,02:25,T,39,6.0NRT,296.2,19.4,D
-3.109,126.426,310.2,2.1,1.4,2019-08-26,02:25,T,15,6.0NRT,294.5,14,D
-3.109,126.42,317.3,2.1,1.4,2019-08-26,02:25,T,68,6.0NRT,295.2,32.5,D
-2.833,122.162,325.8,1.1,1,2019-08-26,02:25,T,52,6.0NRT,303.1,16.2,D
-2.85,121.714,317.8,1.1,1,2019-08-26,02:25,T,64,6.0NRT,294.6,13,D
-2.805,120.278,313.7,1,1,2019-08-26,02:25,T,67,6.0NRT,297.2,5.7,D
-3.903,122.421,326.2,1.1,1.1,2019-08-26,02:25,T,81,6.0NRT,300.6,20.7,D
-4.048,122.419,314.4,1.2,1.1,2019-08-26,02:25,T,67,6.0NRT,299.7,9.3,D
-3.748,119.738,320.8,1,1,2019-08-26,02:25,T,73,6.0NRT,298.9,11.4,D
-3.884,120.222,313.5,1,1,2019-08-26,02:25,T,49,6.0NRT,298.5,5.7,D
-4.066,120.147,322,1,1,2019-08-26,02:25,T,69,6.0NRT,303.1,8.5,D
-4.394,122.201,328.2,1.1,1.1,2019-08-26,02:25,T,82,6.0NRT,299.9,22.3,D
3.863,117.345,318.2,1.6,1.2,2019-08-26,02:25,T,33,6.0NRT,296.2,15.2,D
0.849,124.032,323.8,1.2,1.1,2019-08-26,02:25,T,47,6.0NRT,303.4,13,D
1.09,121.916,313.6,1,1,2019-08-26,02:25,T,18,6.0NRT,297.1,5.9,D
0.997,122.292,317.2,1,1,2019-08-26,02:25,T,57,6.0NRT,297.5,7.8,D
1.04,120.822,317.5,1,1,2019-08-26,02:25,T,40,6.0NRT,298.7,8.2,D
0.776,122.476,320.6,1.1,1,2019-08-26,02:25,T,30,6.0NRT,295,12.9,D
0.673,117.463,316.1,1.4,1.2,2019-08-26,02:25,T,46,6.0NRT,294.1,10.1,D
-8.856,125.682,306,2.3,1.5,2019-08-26,02:25,T,23,6.0NRT,291.5,16.1,D
-9.784,123.754,316.4,1.7,1.3,2019-08-26,02:25,T,48,6.0NRT,300.6,12.9,D
-10.191,120.669,325.3,1.1,1,2019-08-26,02:25,T,58,6.0NRT,305.2,14.9,D
-3.391,115.091,310.9,1.8,1.3,2019-08-26,02:25,T,34,6.0NRT,283.3,12.1,D
-3.41,115.055,317.9,1.8,1.3,2019-08-26,02:25,T,63,6.0NRT,287.5,23.6,D
-3.421,115.054,314.5,1.8,1.3,2019-08-26,02:25,T,39,6.0NRT,289.1,17.6,D
-4.362,120.214,318.3,1,1,2019-08-26,02:25,T,63,6.0NRT,302,5.4,D
-6.957,115.918,311,1.4,1.2,2019-08-26,02:25,T,45,6.0NRT,296.8,11.8,D
-9.073,149.153,348.2,1,1,2019-08-26,03:40,A,94,6.0NRT,290.6,55.1,D
-9.064,149.151,370.1,1,1,2019-08-26,03:40,A,94,6.0NRT,289.3,113.1,D
27.246,140.882,321.6,1,1,2019-08-26,03:50,A,74,6.0NRT,302.7,12.4,D
29.146,105.348,324.1,1.1,1.1,2019-08-26,03:55,T,52,6.0NRT,304.2,11.8,D
23.575,103.133,318.9,1.1,1,2019-08-26,03:55,T,70,6.0NRT,301.2,8.4,D
23.698,102.879,322.7,1,1,2019-08-26,03:55,T,71,6.0NRT,302.6,8.8,D
23.842,103.2,320.6,1.1,1,2019-08-26,03:55,T,28,6.0NRT,301,11.8,D
24.017,102.186,321.2,1,1,2019-08-26,03:55,T,64,6.0NRT,304.3,10.1,D
24.042,104.19,316.5,1.2,1.1,2019-08-26,03:55,T,39,6.0NRT,298.5,9.9,D
23.834,106.662,317.9,1.6,1.3,2019-08-26,03:55,T,49,6.0NRT,298.1,14.3,D
24.053,105.696,311,1.4,1.2,2019-08-26,03:55,T,58,6.0NRT,295,8.7,D
24.671,102.684,317.6,1,1,2019-08-26,03:55,T,65,6.0NRT,301.6,6.9,D
24.678,102.757,320.8,1,1,2019-08-26,03:55,T,38,6.0NRT,301.7,9.8,D
24.574,104.509,313.3,1.2,1.1,2019-08-26,03:55,T,64,6.0NRT,295.6,8.9,D
25.147,102.098,318.3,1,1,2019-08-26,03:55,T,28,6.0NRT,303.1,7.9,D
24.68,105.76,314.6,1.4,1.2,2019-08-26,03:55,T,67,6.0NRT,298,11.2,D
24.677,105.841,311,1.4,1.2,2019-08-26,03:55,T,59,6.0NRT,295.4,8.2,D
25.303,103.892,317.2,1.1,1,2019-08-26,03:55,T,49,6.0NRT,300.5,8.4,D
25.164,104.922,322.4,1.2,1.1,2019-08-26,03:55,T,77,6.0NRT,302.5,13.7,D
25.563,102.522,310.1,1,1,2019-08-26,03:55,T,51,6.0NRT,295.1,4.5,D
25.45,103.547,308.5,1.1,1,2019-08-26,03:55,T,33,6.0NRT,290.6,4.9,D
25.553,103.828,320.3,1.1,1,2019-08-26,03:55,T,39,6.0NRT,300.5,10.5,D
25.773,103.784,310,1.1,1,2019-08-26,03:55,T,42,6.0NRT,293.9,5.5,D
25.431,106.747,316.8,1.6,1.2,2019-08-26,03:55,T,21,6.0NRT,299.3,13.2,D
26.563,101.683,322.6,1,1,2019-08-26,03:55,T,55,6.0NRT,306,9.6,D
