latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-8.475,151.034,314.6,1.2,1.1,2019-09-06,00:30,T,49,6.0NRT,293.1,10,D
-11.085,142.506,318.6,1.8,1.3,2019-09-06,00:30,T,66,6.0NRT,294.1,23.8,D
-10.028,147.862,318.5,1,1,2019-09-06,00:30,T,47,6.0NRT,298.1,8.9,D
-10.027,147.853,326.2,1,1,2019-09-06,00:30,T,78,6.0NRT,298.7,16.6,D
-10.026,147.844,351.8,1,1,2019-09-06,00:30,T,96,6.0NRT,300.9,59,D
-10.024,147.835,345,1,1,2019-09-06,00:30,T,93,6.0NRT,299.1,45.4,D
-10.017,147.846,320.2,1,1,2019-09-06,00:30,T,64,6.0NRT,300.6,10.8,D
-9.975,147.75,332,1,1,2019-09-06,00:30,T,86,6.0NRT,299.7,26.2,D
-9.977,147.888,316.7,1,1,2019-09-06,00:30,T,71,6.0NRT,299.6,7.9,D
-9.952,147.716,342.1,1,1,2019-09-06,00:30,T,92,6.0NRT,299.3,43.3,D
-9.965,148.054,309.4,1,1,2019-09-06,00:30,T,57,6.0NRT,296.8,4.3,D
-9.929,147.939,314.2,1,1,2019-09-06,00:30,T,68,6.0NRT,297.5,7.3,D
-9.902,147.943,311.7,1,1,2019-09-06,00:30,T,63,6.0NRT,297.4,6.4,D
-9.901,147.934,311.3,1,1,2019-09-06,00:30,T,59,6.0NRT,297.5,5.8,D
-10.224,150.41,313.5,1.1,1.1,2019-09-06,00:30,T,52,6.0NRT,297.9,8.8,D
-9.781,147.93,311.9,1,1,2019-09-06,00:30,T,47,6.0NRT,298.2,5.5,D
-9.732,147.603,312.1,1,1,2019-09-06,00:30,T,65,6.0NRT,297.2,7,D
-9.687,147.55,312.8,1,1,2019-09-06,00:30,T,68,6.0NRT,298,6,D
-9.878,149.74,325.3,1.1,1,2019-09-06,00:30,T,0,6.0NRT,301.1,17,D
-9.877,149.731,331.6,1.1,1,2019-09-06,00:30,T,75,6.0NRT,302.8,25.9,D
-9.852,149.558,310.4,1,1,2019-09-06,00:30,T,65,6.0NRT,298.5,5.4,D
-9.829,149.523,320.2,1,1,2019-09-06,00:30,T,76,6.0NRT,299,12.3,D
-9.822,149.53,315.2,1,1,2019-09-06,00:30,T,46,6.0NRT,299.1,7.8,D
-8.387,140.578,314.4,2.9,1.6,2019-09-06,00:30,T,68,6.0NRT,294.4,39.3,D
-9.736,149.636,313.8,1.1,1,2019-09-06,00:30,T,66,6.0NRT,299.5,6.6,D
